run_num,project_name,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss
1,PNA,1,1775528439.7805345,90.635841,47.254319,39.034156,3.205355,0.8189477324485779
1,PNA,2,1775528440.0003664,94.166453,47.009174,42.271224,3.015252,0.8085139393806458
1,PNA,3,1775528440.375778,91.454725,47.210388,38.827763,3.239616,0.7804800271987915
1,PNA,4,1775528440.5953617,91.273211,47.30135,38.719031,3.226135,0.7694132924079895
1,PNA,5,1775528440.8156002,91.422735,47.29841,38.993326,3.231776,0.8343381881713867
1,PNA,6,1775528441.035895,91.281982,47.389161,38.930405,3.047233,0.7880783081054688
1,PNA,7,1775528441.2579937,93.424809,49.576769,38.685801,3.038053,0.7668973207473755
1,PNA,8,1775528441.477345,91.441705,47.392912,38.824542,3.216206,0.7911020517349243
1,PNA,9,1775528441.6970026,92.179838,47.256249,39.744638,3.153835,0.845445990562439
1,PNA,10,1775528441.9145756,91.051548,46.837832,39.095957,3.030533,0.827125072479248
1,PNA,11,1775528442.1308615,90.890845,47.186718,38.799203,3.010432,0.7978184819221497
1,PNA,12,1775528442.348082,91.101169,47.083486,38.895765,3.037153,0.7736911773681641
1,PNA,13,1775528442.5650811,91.268621,47.133377,39.163709,3.025183,0.8365651965141296
1,PNA,14,1775528442.7836378,91.519156,47.32222,39.22907,3.036853,0.7340365648269653
1,PNA,15,1775528443.0027122,91.20073,47.250729,38.955805,3.083303,0.8142277002334595
1,PNA,16,1775528443.2198033,91.310343,47.490353,38.822393,3.060933,0.809823215007782
1,PNA,17,1775528443.4377244,91.13365,47.33086,38.856893,3.032392,0.7801930904388428
1,PNA,18,1775528443.6556165,91.024767,47.530073,38.688471,3.023292,0.7621418237686157
1,PNA,19,1775528443.875956,91.448925,47.626145,38.918765,3.025043,0.7932610511779785
1,PNA,20,1775528444.0321538,86.759773,47.478792,34.713201,2.946891,0.8094473481178284
1,PNA,21,1775528444.2469532,90.997437,47.762347,38.909965,3.183175,0.8363335132598877
