run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,batch_num_graphs,batch_num_nodes,batch_num_edges
1,PNA,1,1,1775700193.1006825,772.55279,286.66715,476.189265,4.172236,0.7949039340019226,4096,56579,117124
1,PNA,1,2,1775700194.999618,782.501699,290.288178,481.658303,4.045735,0.805092453956604,4096,57112,118322
1,PNA,1,3,1775700195.7082615,281.63901,103.881373,169.78855,4.075345,0.7835401892662048,1808,24950,51554
1,PNA,2,4,1775700197.5561721,771.771847,286.403426,475.740048,4.152396,0.8115047216415405,4096,56513,116928
1,PNA,2,5,1775700199.3042266,779.369597,289.223021,479.434317,4.050515,0.7892865538597107,4096,56921,117924
1,PNA,2,6,1775700200.1916583,287.875919,107.735904,172.179719,4.039234,0.7815811038017273,1808,25207,52148
1,PNA,3,7,1775700201.9414,780.510677,289.524135,481.447689,4.048754,0.7987105250358582,4096,57013,118116
1,PNA,3,8,1775700203.806525,773.244471,286.62208,475.936481,4.052974,0.7933363914489746,4096,56589,117034
1,PNA,3,9,1775700204.5272944,286.171292,107.091864,171.065241,4.122625,0.8012333512306213,1808,25039,51850
1,PNA,4,10,1775700206.412618,779.606133,288.807704,478.908519,4.039774,0.7881342768669128,4096,56896,117854
1,PNA,4,11,1775700208.1553974,776.993291,288.144924,478.202447,4.046024,0.8089641332626343,4096,56843,117636
1,PNA,4,12,1775700209.029511,281.330415,103.631159,169.647259,4.076864,0.7896373271942139,1808,24902,51510
1,PNA,5,13,1775700210.7593207,772.035852,286.749451,475.521725,4.142046,0.7846069931983948,4096,56556,117020
1,PNA,5,14,1775700212.6646512,781.856469,289.75486,481.264146,4.213957,0.8083914518356323,4096,57027,118154
1,PNA,5,15,1775700213.3828247,285.820167,107.338957,170.524003,4.098856,0.7987616062164307,1808,25058,51826
1,PNA,6,16,1775700215.2589386,775.627908,287.799158,478.171097,4.136046,0.7976704835891724,4096,56798,117450
1,PNA,6,17,1775700216.9991567,778.438954,288.782924,478.928209,4.097905,0.7905791997909546,4096,56870,117860
1,PNA,6,18,1775700217.7092252,282.079297,104.155257,169.942174,4.084025,0.8093730211257935,1808,24973,51690
1,PNA,7,19,1775700219.5821068,775.417495,287.808298,477.936993,4.046604,0.7877535820007324,4096,56801,117602
1,PNA,7,20,1775700221.4730937,776.372191,288.013392,477.509966,4.070394,0.7984132766723633,4096,56841,117544
