run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss
1,PNA,1,1,1775695212.6923664,114.583331,47.930786,60.53206,4.989245,0.8189471960067749
1,PNA,1,2,1775695212.9268634,110.47522,47.818984,55.754599,4.257722,0.808512806892395
1,PNA,1,3,1775695213.298451,111.526739,47.951197,56.243777,4.301994,0.780479371547699
1,PNA,1,4,1775695213.5321157,110.862916,47.713052,55.935902,4.267063,0.7694123387336731
1,PNA,1,5,1775695213.7681994,111.01675,47.884945,56.740956,3.670143,0.8343372941017151
1,PNA,1,6,1775695214.00907,114.649441,50.830056,57.309895,3.752564,0.7880776524543762
1,PNA,1,7,1775695214.249733,112.501455,49.36312,56.41287,3.696414,0.7668964266777039
1,PNA,1,8,1775695214.486373,111.317104,47.939446,56.756276,3.676243,0.7911007404327393
1,PNA,1,9,1775695214.724596,110.589302,47.831654,56.364379,3.685553,0.8454445600509644
1,PNA,1,10,1775695214.962462,110.130415,47.380697,56.027393,3.692323,0.8271239399909973
1,PNA,1,11,1775695215.1999822,110.572832,47.918606,56.218806,3.699943,0.7978177070617676
1,PNA,1,12,1775695215.438403,110.382959,47.509089,56.242408,3.808755,0.773690402507782
1,PNA,1,13,1775695215.6774697,111.311134,47.812704,56.606613,4.299894,0.836564302444458
1,PNA,1,14,1775695215.9159565,111.064221,47.942636,56.603864,3.702193,0.7340356111526489
1,PNA,1,15,1775695216.153299,110.842646,47.885335,56.539442,3.685273,0.8142267465591431
1,PNA,1,16,1775695216.390607,111.129602,47.862644,56.668884,3.694363,0.8098223209381104
1,PNA,1,17,1775695216.6276343,110.709604,47.760044,56.397329,3.677323,0.7801916599273682
1,PNA,1,18,1775695216.8665693,111.028489,48.021887,56.581043,3.686363,0.7621403932571411
1,PNA,1,19,1775695217.105195,111.182353,47.863365,56.886569,3.675242,0.7932593822479248
1,PNA,1,20,1775695217.289774,114.520879,47.937826,60.023371,3.936627,0.8094452023506165
1,PNA,2,21,1775695217.524899,109.865639,48.476735,55.945211,4.285702,0.8363317251205444
1,PNA,2,22,1775695217.94131,288.852746,225.316255,56.43082,4.303473,0.8006932735443115
1,PNA,2,23,1775695218.1798284,112.163068,47.912795,57.919595,3.692562,0.8025130033493042
1,PNA,2,24,1775695218.4159467,110.478601,47.783213,56.174987,3.687053,0.8406424522399902
1,PNA,2,25,1775695218.6535046,110.915428,47.910476,56.581832,3.723063,0.843221127986908
1,PNA,2,26,1775695218.8890958,110.699835,47.756232,56.39638,3.674003,0.794222891330719
1,PNA,2,27,1775695219.1262565,111.281124,48.090318,56.752296,3.690283,0.7999227046966553
1,PNA,2,28,1775695219.3628662,110.996249,47.938336,56.632723,3.685283,0.7718240022659302
1,PNA,2,29,1775695219.6005318,111.129652,48.087359,56.617264,3.703163,0.7986912131309509
1,PNA,2,30,1775695219.8371227,110.728584,47.60053,56.699395,3.686002,0.7900485992431641
1,PNA,2,31,1775695220.0770934,111.254753,48.178719,56.654295,3.694103,0.7950597405433655
1,PNA,2,32,1775695220.3164334,110.900867,47.773233,56.658114,3.709493,0.7752043008804321
1,PNA,2,33,1775695220.553101,112.034527,47.927735,56.857578,4.454876,0.7799968719482422
1,PNA,2,34,1775695220.790013,110.838176,47.757173,56.622963,3.701333,0.7341527938842773
1,PNA,2,35,1775695221.025841,110.883456,47.928836,56.537152,3.683023,0.8382748365402222
1,PNA,2,36,1775695221.2615724,110.767825,47.911946,56.419471,3.701773,0.7993857264518738
1,PNA,2,37,1775695221.4984996,110.746284,47.926545,56.38891,3.687903,0.8048040270805359
1,PNA,2,38,1775695221.8693254,111.01174,47.774643,56.673625,3.693532,0.7525316476821899
1,PNA,2,39,1775695222.1057851,111.001199,47.878015,56.640053,3.741283,0.7759273052215576
1,PNA,2,40,1775695222.2858448,111.66578,47.838424,57.474688,3.726094,0.8001351356506348
1,PNA,3,41,1775695222.5182889,109.109487,48.16826,55.494594,4.275654,0.8385301828384399
1,PNA,3,42,1775695222.754181,109.794719,47.394478,55.467884,4.263412,0.7684777975082397
1,PNA,3,43,1775695222.9932437,110.406689,47.821684,56.260577,3.682643,0.8005692958831787
1,PNA,3,44,1775695223.2341888,114.842464,47.789473,60.230346,4.082049,0.7545878291130066
1,PNA,3,45,1775695223.4731252,111.352335,48.158959,56.780766,3.469829,0.7737029790878296
1,PNA,3,46,1775695223.7099288,110.372369,47.796693,56.115926,3.721873,0.8360933661460876
1,PNA,3,47,1775695223.9480264,111.144381,48.061188,56.630614,3.714553,0.7927859425544739
1,PNA,3,48,1775695224.1861393,110.803496,47.700792,56.666495,3.684893,0.820920467376709
1,PNA,3,49,1775695224.424176,111.171531,47.845054,56.865737,3.709093,0.7700988054275513
1,PNA,3,50,1775695224.662726,111.07717,48.143099,56.618174,3.711353,0.8053137063980103
1,PNA,3,51,1775695224.9024131,111.818593,48.368364,56.99365,3.709283,0.8238860368728638
1,PNA,3,52,1775695225.139938,110.974608,47.868595,56.624403,3.707133,0.7941946983337402
1,PNA,3,53,1775695225.3781147,111.142552,47.860155,56.867548,3.696243,0.7878058552742004
1,PNA,3,54,1775695225.617852,110.807896,47.931636,56.42314,3.697643,0.8178673982620239
1,PNA,3,55,1775695225.8579724,111.054731,47.997447,56.624114,3.701393,0.7495160102844238
1,PNA,3,56,1775695226.0964024,112.660727,47.969506,58.261132,3.682512,0.7932438850402832
1,PNA,3,57,1775695226.3339014,111.208263,47.839754,56.993371,3.685033,0.7729051113128662
1,PNA,3,58,1775695226.7286866,111.726162,48.012477,57.120073,3.721753,0.8118007183074951
1,PNA,3,59,1775695226.9666872,111.553578,48.18472,56.913199,3.700933,0.8057304620742798
1,PNA,3,60,1775695227.1465917,111.343335,47.840754,57.299634,3.814464,0.8226884603500366
1,PNA,4,61,1775695227.3821266,109.691967,47.887155,56.992731,3.662142,0.7522811889648438
1,PNA,4,62,1775695227.6185927,110.703874,47.624821,56.573632,3.669363,0.7940279245376587
1,PNA,4,63,1775695227.855658,110.636743,47.806003,56.465351,3.681613,0.7704396843910217
1,PNA,4,64,1775695228.092896,110.958699,47.778094,56.555503,3.673422,0.7985777854919434
1,PNA,4,65,1775695228.3287697,110.720064,47.783393,56.469761,3.719443,0.8010769486427307
1,PNA,4,66,1775695228.564013,110.922088,47.884555,56.613383,3.674823,0.7744032740592957
1,PNA,4,67,1775695228.8024125,111.864154,48.146249,57.01766,3.718443,0.782768189907074
1,PNA,4,68,1775695229.0420294,114.212594,49.034375,58.374433,3.758355,0.8249368667602539
1,PNA,4,69,1775695229.2774749,111.236164,47.865145,56.897379,3.700603,0.7543476223945618
1,PNA,4,70,1775695229.5137382,111.117861,47.983687,56.538552,3.677033,0.8092355728149414
1,PNA,4,71,1775695229.7493901,110.961769,47.917836,56.632094,3.697823,0.8138716220855713
1,PNA,4,72,1775695229.9872656,111.222822,47.997707,56.575233,3.663032,0.8005362749099731
1,PNA,4,73,1775695230.223806,110.835547,47.690961,56.694405,3.46297,0.8459797501564026
1,PNA,4,74,1775695230.4573162,111.463868,47.860615,56.899189,3.714033,0.8519748449325562
1,PNA,4,75,1775695230.6947064,111.264763,47.812284,56.753686,3.676682,0.8332417011260986
1,PNA,4,76,1775695231.0625124,242.070551,179.055607,56.735656,3.656703,0.7579848766326904
1,PNA,4,77,1775695231.298386,111.315444,48.133459,56.825617,3.652973,0.771756649017334
1,PNA,4,78,1775695231.532943,111.383675,47.877265,56.813446,3.693193,0.8025019764900208
1,PNA,4,79,1775695231.7668111,111.688532,48.121899,56.854858,3.695262,0.7834843397140503
1,PNA,4,80,1775695231.9446785,111.483988,47.880995,57.336986,3.671322,0.8066157102584839
1,PNA,5,81,1775695232.178234,109.847089,48.307462,56.711885,3.676732,0.8114714622497559
1,PNA,5,82,1775695232.4098394,110.51375,47.665841,56.081565,4.227002,0.7858977913856506
1,PNA,5,83,1775695232.6437068,111.066611,47.838214,56.293538,4.276073,0.7414569854736328
1,PNA,5,84,1775695232.8779318,111.541188,47.880385,56.99261,3.697983,0.7728807926177979
1,PNA,5,85,1775695233.1126668,111.688331,48.16454,56.456541,4.304073,0.8131173253059387
1,PNA,5,86,1775695233.353264,115.340253,51.840393,56.906898,3.988008,0.7793481349945068
1,PNA,5,87,1775695233.5891454,112.027136,48.709719,56.879428,3.679552,0.7802717685699463
1,PNA,5,88,1775695233.8252738,111.105052,47.821084,56.529613,3.709653,0.7866759300231934
1,PNA,5,89,1775695234.064115,111.484127,47.987047,56.344809,3.761614,0.799353837966919
1,PNA,5,90,1775695234.302237,111.384836,48.025207,56.233418,4.288003,0.8344590067863464
1,PNA,5,91,1775695234.5403574,111.581848,47.521549,57.581159,3.726643,0.770041286945343
1,PNA,5,92,1775695234.7776923,111.239284,48.028597,56.716645,3.713304,0.7918031215667725
1,PNA,5,93,1775695235.01455,111.111781,47.914536,56.700865,3.670962,0.8474646806716919
1,PNA,5,94,1775695235.4125898,110.796945,47.853344,56.375389,3.699682,0.8109768629074097
1,PNA,5,95,1775695235.6501284,111.246373,48.122478,56.45328,3.721504,0.8250609040260315
1,PNA,5,96,1775695235.8869414,110.575112,47.887746,56.219616,3.681852,0.7815207242965698
1,PNA,5,97,1775695236.1256292,111.327924,48.092248,56.864668,3.683022,0.7660967707633972
1,PNA,5,98,1775695236.3598824,111.265064,47.915205,56.834338,3.725184,0.8035291433334351
1,PNA,5,99,1775695236.5958545,110.370758,47.774663,56.186736,3.674103,0.7911275029182434
1,PNA,5,100,1775695236.7763717,111.402096,47.792364,57.327555,3.707303,0.8590748906135559
1,PNA,6,101,1775695237.0117173,109.118488,47.766182,55.920661,4.284623,0.7638407349586487
1,PNA,6,102,1775695237.246732,110.748476,47.472349,56.776156,3.666143,0.8063643574714661
1,PNA,6,103,1775695237.4845717,113.706724,50.064982,56.600373,4.344234,0.8131927251815796
1,PNA,6,104,1775695237.7204964,110.678184,47.862414,56.268688,3.737323,0.8436819911003113
1,PNA,6,105,1775695237.9573116,110.984199,47.768363,56.757565,3.690022,0.8197084665298462
1,PNA,6,106,1775695238.193886,111.02317,47.697352,56.860088,3.671703,0.7925596237182617
1,PNA,6,107,1775695238.429997,111.208452,47.950456,56.615424,3.680422,0.7607944011688232
1,PNA,6,108,1775695238.6654177,110.649372,47.778184,56.195106,3.670332,0.7736344933509827
1,PNA,6,109,1775695238.9025724,111.276334,47.865954,56.844618,3.779004,0.7343253493309021
1,PNA,6,110,1775695239.1388986,111.07865,47.891295,56.145516,4.310393,0.8361794948577881
1,PNA,6,111,1775695239.3772113,111.712142,48.058928,57.128673,3.700203,0.7989658117294312
1,PNA,6,112,1775695239.7640443,111.438997,48.001587,56.811007,3.692483,0.772786021232605
1,PNA,6,113,1775695240.0017998,111.437067,48.091269,56.872478,3.727114,0.8123842477798462
1,PNA,6,114,1775695240.239725,111.385435,47.757343,56.616384,3.921946,0.7880252599716187
1,PNA,6,115,1775695240.4782279,112.464304,47.958166,57.761834,3.862326,0.7825376987457275
1,PNA,6,116,1775695240.7157323,110.671163,47.695341,56.38799,3.694193,0.7926293611526489
1,PNA,6,117,1775695240.9527094,111.280494,47.860494,56.660075,3.743064,0.8206070065498352
1,PNA,6,118,1775695241.1890335,110.577971,47.881855,56.258717,3.707564,0.7753342986106873
1,PNA,6,119,1775695241.4252741,110.835146,47.740253,56.619583,3.717464,0.8255901336669922
1,PNA,6,120,1775695241.606498,111.474767,47.708442,57.5483,3.728104,0.8155442476272583
1,PNA,7,121,1775695241.8407722,109.561935,47.832395,56.273258,4.308553,0.8293493986129761
1,PNA,7,122,1775695242.0776887,110.5197,47.639311,55.817689,4.299023,0.7378353476524353
1,PNA,7,123,1775695242.315716,111.297905,48.003317,56.37274,4.297333,0.7717710733413696
1,PNA,7,124,1775695242.5523567,110.552011,47.662261,55.788289,4.295623,0.8008359670639038
1,PNA,7,125,1775695242.7893531,110.929289,48.056068,56.558393,3.722884,0.8162544369697571
1,PNA,7,126,1775695243.0261433,110.941438,47.950656,55.971882,4.309654,0.7728407382965088
1,PNA,7,127,1775695243.2676914,112.030467,48.926382,56.519091,3.807115,0.7611824870109558
1,PNA,7,128,1775695243.5055437,111.321615,47.899836,56.661994,3.752754,0.8037469387054443
1,PNA,7,129,1775695243.7437377,111.476067,47.546899,56.975209,3.474869,0.8019163012504578
1,PNA,7,130,1775695243.9812434,111.382956,48.032368,56.607754,3.737734,0.7548568248748779
1,PNA,7,131,1775695244.3755968,111.391896,48.062828,56.551793,3.708843,0.8086870908737183
