run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,fwd_gpu_util,fwd_cpu_util,fwd_ram_used_mb,bwd_gpu_util,bwd_cpu_util,bwd_ram_used_mb
1,PNA,1,1,1775589287.0803888,152.523419,56.728651,87.634348,3.390665,0.8138262033462524,0.0,72.6,20209.46484375,0.0,101.4,20209.46484375
1,PNA,1,2,1775589287.4818223,153.050378,56.402005,87.313352,3.400145,0.7750419974327087,0.0,41.7,20211.625,0.0,90.4,20211.53125
1,PNA,1,3,1775589287.885269,153.175769,56.430097,87.261001,3.425635,0.8113109469413757,0.0,41.3,20210.54296875,0.0,90.4,20210.07421875
1,PNA,1,4,1775589288.2941425,155.534307,56.020269,86.721212,3.387155,0.7791299819946289,0.0,37.8,20212.8984375,0.0,114.2,20212.86328125
1,PNA,1,5,1775589288.7004175,155.65662,57.318,89.531838,3.400324,0.8364638090133667,0.0,37.6,20214.78125,0.0,110.7,20215.375
1,PNA,1,6,1775589289.1061165,154.147405,56.793933,88.111205,3.390525,0.7858728170394897,0.0,37.9,20215.0703125,0.0,89.7,20214.6015625
1,PNA,1,7,1775589289.5104403,154.667283,57.035265,88.664063,3.388665,0.7854467630386353,0.0,41.3,20213.37890625,0.0,100.6,20213.47265625
1,PNA,1,8,1775589289.9121335,152.699152,56.386046,87.20064,3.356534,0.8121598958969116,0.0,41.5,20211.33984375,0.0,90.9,20211.33984375
1,PNA,1,9,1775589290.3105357,151.799807,56.02636,86.669321,3.330414,0.7713607549667358,0.0,38.6,20210.96875,0.0,102.9,20210.93359375
1,PNA,1,10,1775589290.6176689,117.502946,47.768207,60.862828,3.405265,0.799098551273346,5.0,36.7,20211.33984375,5.0,113.3,20211.28125
1,PNA,2,11,1775589291.2795897,152.433378,56.748851,87.341773,3.452085,0.8187161087989807,0.0,67.8,20211.48046875,0.0,101.7,20211.01171875
1,PNA,2,12,1775589291.69163,153.905061,56.907113,87.861251,3.406254,0.8217726349830627,0.0,37.3,20211.546875,0.0,101.5,20211.078125
1,PNA,2,13,1775589292.093086,151.270229,55.882238,86.616131,3.429235,0.818939208984375,0.0,38.2,20210.8203125,0.0,102.9,20210.8203125
1,PNA,2,14,1775589292.4949312,151.610355,55.940848,86.832144,3.400535,0.7860298156738281,0.0,38.2,20210.2109375,0.0,102.7,20210.3046875
1,PNA,2,15,1775589292.8993776,153.954712,56.871423,88.250857,3.351314,0.794599711894989,0.0,38.0,20210.10546875,0.0,101.0,20209.8828125
1,PNA,2,16,1775589293.3058128,154.973819,57.120117,88.608213,3.391705,0.7853395342826843,0.0,41.1,20209.2109375,0.0,89.2,20209.17578125
1,PNA,2,17,1775589293.707852,152.861154,56.504857,87.338862,3.414265,0.7573156356811523,0.0,41.4,20210.06640625,0.0,102.1,20210.03125
1,PNA,2,18,1775589294.1141446,152.375337,56.335365,87.161439,3.349884,0.8191524147987366,0.0,37.7,20209.6015625,0.0,90.9,20209.6015625
1,PNA,2,19,1775589294.5190756,153.335173,56.560218,87.931833,3.391684,0.7788882255554199,0.0,41.1,20208.93359375,0.0,101.4,20209.14453125
1,PNA,2,20,1775589294.827106,118.239659,47.968711,61.245003,3.569248,0.7846489548683167,1.0,40.7,20209.1953125,1.0,96.7,20209.15625
1,PNA,3,21,1775589295.5433397,153.527965,57.198798,88.38018,3.393144,0.8037044405937195,0.0,69.9,20208.84375,59.0,100.9,20208.84375
1,PNA,3,22,1775589295.9464192,152.942734,56.541428,87.451713,3.376494,0.7778932452201843,13.0,38.3,20208.33203125,57.0,90.6,20208.296875
1,PNA,3,23,1775589296.3517845,152.916355,56.668659,87.495005,3.397764,0.8052581548690796,14.0,41.0,20207.91796875,54.0,101.9,20207.93359375
1,PNA,3,24,1775589296.760613,155.322105,57.106087,89.056721,3.350213,0.8071379065513611,16.0,37.7,20207.46484375,51.0,99.7,20207.5
1,PNA,3,25,1775589297.1655614,152.725932,56.516708,87.364663,3.367394,0.7880281805992126,21.0,37.9,20210.0234375,47.0,102.1,20209.9296875
1,PNA,3,26,1775589297.5714123,151.459492,55.926899,86.637151,3.364884,0.8093485832214355,23.0,40.8,20209.44140625,44.0,91.5,20209.34765625
1,PNA,3,27,1775589297.9720197,151.690895,56.08149,86.53517,3.468636,0.8032358288764954,26.0,38.3,20211.51953125,43.0,114.3,20211.296875
1,PNA,3,28,1775589298.375368,152.321006,56.393555,87.058397,3.334593,0.7717113494873047,26.0,38.0,20210.90625,42.0,102.4,20211.26171875
1,PNA,3,29,1775589298.780438,153.681308,56.68233,87.636737,3.378664,0.7926222681999207,28.0,38.0,20210.2890625,40.0,101.2,20210.3828125
1,PNA,3,30,1775589299.0883853,117.293694,47.873819,60.802477,3.363914,0.8119595646858215,31.0,36.5,20210.2421875,31.0,113.7,20210.37109375
1,PNA,4,31,1775589299.7542083,153.327592,56.990666,88.258487,3.418475,0.7736093997955322,0.0,65.7,20210.16796875,52.0,101.0,20210.37890625
1,PNA,4,32,1775589300.1572752,154.289617,56.880943,88.352929,3.401304,0.7849564552307129,19.0,41.6,20209.87109375,52.0,100.9,20209.77734375
1,PNA,4,33,1775589300.5623624,152.133343,56.190862,86.844645,3.448185,0.7882808446884155,20.0,37.8,20209.41015625,48.0,102.3,20209.375
1,PNA,4,34,1775589300.9686506,153.81494,56.817582,87.948942,3.341513,0.8042821884155273,22.0,37.8,20208.84765625,46.0,101.4,20208.84765625
1,PNA,4,35,1775589301.36973,152.129763,56.343955,86.908206,3.386254,0.7820003628730774,25.0,38.3,20209.0703125,44.0,102.6,20208.98828125
1,PNA,4,36,1775589301.775177,153.26039,56.65208,87.765829,3.359604,0.8074620962142944,26.0,37.9,20208.13671875,42.0,112.9,20208.1015625
1,PNA,4,37,1775589302.1845617,155.058729,57.2699,88.682233,3.503636,0.8493223786354065,29.0,34.4,20207.6484375,38.0,111.7,20207.61328125
1,PNA,4,38,1775589302.5972667,152.035921,55.946528,86.909536,3.412064,0.7960784435272217,33.0,36.9,20208.1484375,30.0,102.2,20207.6796875
1,PNA,4,39,1775589303.0028272,151.536613,55.828566,86.5531,3.367654,0.7874349355697632,40.0,37.7,20207.06640625,27.0,114.0,20207.03125
1,PNA,4,40,1775589303.307448,117.047719,47.865459,60.42624,3.360835,0.7918912768363953,42.0,37.0,20206.4921875,42.0,98.0,20206.4921875
1,PNA,5,41,1775589303.9898477,149.475709,55.783856,85.679326,3.381804,0.7990955114364624,0.0,68.6,20205.89453125,32.0,92.5,20206.09375
1,PNA,5,42,1775589304.3948607,153.970422,56.867993,88.077844,3.393795,0.7575283050537109,37.0,41.3,20205.46484375,32.0,101.2,20205.38671875
1,PNA,5,43,1775589304.8021054,152.188433,56.08025,86.861605,3.426025,0.7966943979263306,39.0,37.6,20205.2265625,27.0,102.2,20205.19140625
1,PNA,5,44,1775589305.2095711,155.717331,56.877603,88.011854,3.389474,0.7838342785835266,27.0,40.8,20207.203125,27.0,101.2,20207.16796875
1,PNA,5,45,1775589305.6141336,152.968096,56.69636,87.521455,3.368284,0.8173996806144714,23.0,34.8,20207.12890625,23.0,113.2,20207.03515625
1,PNA,5,46,1775589306.0209186,155.375104,57.040786,89.11141,3.455025,0.781380295753479,21.0,34.8,20206.63671875,21.0,110.7,20206.6015625
1,PNA,5,47,1775589306.4269276,153.385712,56.624809,87.587547,3.349034,0.829633355140686,17.0,40.9,20205.66796875,17.0,90.5,20205.6875
1,PNA,5,48,1775589306.8382523,155.268962,57.160919,88.638583,3.399534,0.8037007451057434,12.0,40.4,20205.00390625,12.0,100.3,20205.21484375
