run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,fwd_gpu_util,fwd_cpu_util,fwd_ram_used_mb,bwd_gpu_util,bwd_cpu_util,bwd_ram_used_mb
1,PNA,1,1,1775523511.830477,86.639905,46.653425,34.975074,2.733698,0.8323585987091064,0.0,89.0,23610.87109375,0.0,112.0,23610.87109375
1,PNA,1,2,1775523511.9785159,85.460405,46.570034,34.539706,2.88709,0.8053216934204102,,,,,,
1,PNA,1,3,1775523512.1315935,90.194327,48.972745,36.021372,2.802058,0.8419721126556396,,,,27.0,66.6,23611.76171875
1,PNA,1,4,1775523512.2818663,86.92626,46.693655,34.586847,2.845249,0.7746293544769287,27.0,60.6,23648.4296875,,,
1,PNA,1,5,1775523512.4320881,86.897619,47.055192,34.626028,2.734188,0.7869218587875366,,,,31.0,75.8,23611.86328125
1,PNA,1,6,1775523512.5824835,86.885859,46.679785,34.77917,2.850569,0.7737770080566406,19.0,60.5,23611.921875,,,
1,PNA,1,7,1775523512.732158,86.542303,46.878209,34.614618,2.734268,0.7709317207336426,,,,25.0,70.5,23611.86328125
1,PNA,1,8,1775523512.8824406,86.852279,46.761826,34.716949,2.863519,0.7675110697746277,25.0,60.6,23612.0859375,,,
1,PNA,1,9,1775523513.0323465,86.32868,46.587054,34.699959,2.726657,0.8237259387969971,,,,32.0,75.8,23611.85546875
1,PNA,1,10,1775523513.1827524,86.768497,46.560873,34.73616,2.864949,0.8445708751678467,19.0,60.6,23611.85546875,,,
1,PNA,1,11,1775523513.3326714,85.990193,46.535523,34.389464,2.747167,0.7809146642684937,,,,26.0,75.8,23611.85546875
1,PNA,1,12,1775523513.4833705,87.339738,46.914629,34.883482,2.864559,0.794926643371582,26.0,51.9,23612.23046875,,,
1,PNA,1,13,1775523513.6345515,86.974481,46.941629,34.774021,2.751157,0.7903122305870056,,,,32.0,75.3,23611.75
1,PNA,1,14,1775523513.7851675,86.870289,46.633694,35.082425,2.8741,0.7430738210678101,20.0,60.6,23611.7734375,,,
1,PNA,1,15,1775523513.9353278,86.531973,46.645015,34.651628,2.759718,0.7900111675262451,,,,25.0,75.6,23611.71484375
1,PNA,1,16,1775523514.0837765,85.317442,46.472782,34.581667,2.858219,0.7917340993881226,,,,,,
1,PNA,1,17,1775523514.235845,88.403466,46.96488,35.194518,2.776498,0.848625659942627,33.0,60.5,23611.19140625,33.0,110.3,23611.1328125
1,PNA,1,18,1775523514.3849733,86.042184,47.074382,34.685498,2.86298,0.8415988683700562,,,,,,
1,PNA,1,19,1775523514.5353782,87.288266,46.861928,34.732939,2.750458,0.8516833782196045,25.0,64.3,23611.7734375,25.0,84.6,23611.28515625
1,PNA,1,20,1775523514.688517,88.441036,46.756546,37.158422,3.083284,0.8020261526107788,,,,,,
1,PNA,1,21,1775523514.8428674,89.573337,48.289234,35.058005,2.732817,0.8070223331451416,32.0,62.6,23611.71875,32.0,111.7,23611.71875
1,PNA,1,22,1775523514.9924574,85.77282,46.943611,34.558176,2.862099,0.7882174253463745,,,,,,
1,PNA,1,23,1775523515.1450696,88.860984,47.006632,34.967313,3.198235,0.7378340363502502,24.0,67.7,23585.1015625,24.0,83.7,23585.1015625
1,PNA,1,24,1775523515.2940452,85.568528,46.743727,34.526156,2.857859,0.8091450929641724,,,,,,
