run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb
1,PNA,1,1,1775703789.75744,777.011331,288.017622,476.297223,4.024666,0.7949039340019226,100.0,54.4,21261.38671875
1,PNA,1,2,1775703790.5484989,785.621611,290.572193,482.020396,3.857502,0.805092453956604,100.0,99.4,21254.50390625
1,PNA,1,3,1775703790.8326206,283.684422,104.038171,170.053244,3.669589,0.7835401892662048,95.0,100.6,21252.67578125
1,PNA,2,4,1775703792.8923888,774.529501,287.374562,475.067583,4.009685,0.8115047216415405,45.0,48.4,21265.00390625
1,PNA,2,5,1775703793.6733956,780.536068,289.197441,478.879604,3.845552,0.7892865538597107,94.0,100.5,21258.68359375
1,PNA,2,6,1775703793.9623613,288.53508,107.862114,171.929025,3.470126,0.7815811038017273,100.0,100.6,21255.88671875
1,PNA,3,7,1775703795.9302812,784.553843,291.070352,481.251714,4.004055,0.7987105250358582,100.0,51.2,21274.1796875
1,PNA,3,8,1775703796.7114217,775.421795,286.924634,475.946616,3.977864,0.7933363914489746,100.0,100.6,21266.8515625
1,PNA,3,9,1775703796.9998045,287.858179,107.407146,171.291905,3.67156,0.8012333512306213,95.0,99.4,21257.109375
1,PNA,4,10,1775703799.073457,781.461803,289.932253,479.034857,4.188398,0.7881342768669128,57.0,48.7,21272.421875
1,PNA,4,11,1775703799.8532817,779.187756,288.477249,478.211224,3.868933,0.8089641332626343,94.0,100.0,21264.75390625
1,PNA,4,12,1775703800.1364655,282.531793,103.863299,169.670969,3.67343,0.7896373271942139,100.0,101.4,21256.12890625
1,PNA,5,13,1775703802.1782417,776.006255,288.066663,475.592982,4.049976,0.7846070528030396,100.0,49.0,21273.06640625
1,PNA,5,14,1775703802.9625225,783.772751,289.988924,480.749856,3.815042,0.8083914518356323,100.0,101.5,21261.8203125
1,PNA,5,15,1775703803.2499182,286.962205,107.370075,170.39089,3.483777,0.7987616062164307,95.0,98.6,21260.17578125
1,PNA,6,16,1775703805.203703,778.598067,288.952247,477.409871,3.998215,0.7976704835891724,89.0,51.6,21274.0546875
1,PNA,6,17,1775703805.989365,780.152922,289.079149,478.633561,3.884173,0.7905791997909546,97.0,99.5,21266.9296875
1,PNA,6,18,1775703806.272599,282.771546,104.367957,169.647358,3.473246,0.8093730211257935,95.0,99.5,21259.22265625
1,PNA,7,19,1775703808.2283552,779.539662,289.357674,477.803847,3.972655,0.7877535820007324,77.0,52.2,21276.35546875
1,PNA,7,20,1775703809.011645,777.775854,288.207976,477.284969,3.811532,0.7984132766723633,92.0,98.3,21271.25390625
1,PNA,7,21,1775703809.298535,286.261914,107.232003,170.45948,3.457876,0.8139455318450928,98.0,101.0,21265.50390625
1,PNA,8,22,1775703811.3631957,779.093345,289.092159,477.804097,3.984785,0.7912778854370117,100.0,48.9,21274.58203125
1,PNA,8,23,1775703812.139973,776.283839,287.578564,476.281123,3.837133,0.7939109802246094,100.0,100.3,21264.50390625
1,PNA,8,24,1775703812.4285548,287.954931,107.592299,171.399136,3.468856,0.8160176277160645,95.0,99.3,21259.4140625
1,PNA,9,25,1775703814.505696,779.276148,288.927486,477.906239,4.079326,0.8012466430664062,100.0,49.1,21273.85546875
1,PNA,9,26,1775703815.2839577,777.759253,287.799418,477.35402,3.904103,0.7865217924118042,94.0,100.2,21227.64453125
1,PNA,9,27,1775703815.5729964,288.560851,107.744412,171.562909,3.711241,0.8100372552871704,100.0,100.9,21218.34375
1,PNA,10,28,1775703817.6653945,779.841757,289.301483,478.136193,3.993484,0.7908065915107727,57.0,48.1,21249.53125
1,PNA,10,29,1775703818.448478,777.59254,287.851329,476.868272,3.867843,0.7982879877090454,92.0,100.8,21240.0234375
1,PNA,10,30,1775703818.7360084,287.094967,107.393416,170.718075,3.510897,0.8069038987159729,100.0,99.3,21236.48828125
1,PNA,11,31,1775703820.808644,782.51103,290.696195,479.416063,3.994215,0.7925587892532349,86.0,48.2,21254.1796875
1,PNA,11,32,1775703821.5857847,776.658095,287.513723,476.394785,3.833783,0.7994323968887329,95.0,100.1,21247.28125
1,PNA,11,33,1775703821.8724434,286.218302,107.076191,170.135145,3.508677,0.8002197742462158,95.0,101.1,21239.875
1,PNA,12,34,1775703823.9525123,781.727117,289.510487,479.346423,4.252359,0.8160796165466309,100.0,49.1,21257.34765625
1,PNA,12,35,1775703824.736289,778.038528,288.093192,477.490782,3.882913,0.7834820747375488,100.0,99.3,21246.92578125
1,PNA,12,36,1775703825.024509,287.743987,107.156131,170.481051,4.142607,0.7829549312591553,95.0,100.9,21244.453125
1,PNA,13,37,1775703826.9617767,777.479758,288.54755,476.573057,4.007955,0.8065242171287537,100.0,52.1,21262.32421875
1,PNA,13,38,1775703827.74754,780.349475,289.292373,478.613011,3.833882,0.7785572409629822,100.0,99.6,21261.50390625
1,PNA,13,39,1775703828.035637,287.649975,107.465047,170.608984,3.497687,0.8156530261039734,95.0,100.6,21255.97265625
1,PNA,14,40,1775703829.9756324,779.212797,289.033588,477.707076,3.993425,0.7936462163925171,99.0,52.0,21261.58203125
1,PNA,14,41,1775703830.762076,780.428586,289.001428,478.664771,3.864192,0.7983487844467163,100.0,100.7,21255.171875
1,PNA,14,42,1775703831.0465696,284.018116,104.215554,170.553443,3.68698,0.7998856902122498,95.0,99.5,21252.7890625
1,PNA,15,43,1775703833.0985858,780.484087,289.609178,478.409767,4.028385,0.8009410500526428,100.0,49.3,21265.2265625
1,PNA,15,44,1775703833.8777623,778.695569,288.002951,477.044034,3.846503,0.7878860831260681,94.0,98.7,21255.44140625
1,PNA,15,45,1775703834.1644247,286.221423,107.264404,170.024104,3.514477,0.8069711327552795,100.0,101.0,21255.16796875
1,PNA,16,46,1775703836.0968714,777.773893,288.640432,476.662758,4.071326,0.7918412685394287,100.0,53.5,21265.859375
1,PNA,16,47,1775703836.883692,781.363551,289.73471,479.114169,3.894204,0.8046746850013733,92.0,98.3,21258.71484375
1,PNA,16,48,1775703837.1706178,286.493317,107.313774,170.122295,3.493267,0.7894682288169861,100.0,100.6,21253.26953125
1,PNA,17,49,1775703839.2301576,779.059564,289.09297,477.475942,4.019556,0.782857358455658,71.0,49.1,21267.453125
1,PNA,17,50,1775703840.0152848,779.678694,288.975258,478.230494,3.917194,0.8029772043228149,92.0,98.3,21259.48046875
1,PNA,17,51,1775703840.3023891,286.63542,107.343205,170.119176,3.519237,0.8135899901390076,100.0,102.4,21254.8984375
1,PNA,18,52,1775703842.2545865,781.224869,289.879362,478.874445,4.065026,0.796585202217102,59.0,52.3,21274.6875
1,PNA,18,53,1775703843.0378325,777.418847,287.788488,477.214228,3.904923,0.7973223328590393,92.0,99.5,21267.06640625
1,PNA,18,54,1775703843.3268535,288.546931,107.513107,171.717312,3.748371,0.7952346801757812,100.0,100.9,21261.41796875
1,PNA,19,55,1775703845.2665823,785.232205,290.94047,481.374096,3.976735,0.7922887802124023,54.0,52.7,21244.05078125
1,PNA,19,56,1775703846.04596,773.508974,286.444826,474.535724,3.847893,0.7863997220993042,92.0,100.6,21240.33984375
1,PNA,19,57,1775703846.3348713,288.47497,107.678411,171.374576,3.503077,0.8296518325805664,100.0,99.6,21244.859375
1,PNA,20,58,1775703848.4066718,778.931262,288.743164,477.717795,4.049445,0.7939727902412415,81.0,49.8,21262.45703125
1,PNA,20,59,1775703849.1905665,777.718102,287.796298,477.052635,4.077346,0.8015604019165039,91.0,99.5,21257.94140625
1,PNA,20,60,1775703849.4785254,287.466443,107.738481,170.789016,3.529628,0.791438102722168,95.0,97.5,21253.66796875
1,PNA,21,61,1775703851.5253553,779.476351,289.242562,477.773197,4.036886,0.8007758259773254,100.0,49.4,21268.11328125
1,PNA,21,62,1775703852.3048468,779.019573,288.380378,477.757357,3.822052,0.7853924632072449,100.0,101.4,21264.234375
1,PNA,21,63,1775703852.5918856,286.587298,107.144701,170.334769,3.520517,0.8126109838485718,95.0,99.2,21253.6640625
1,PNA,22,64,1775703854.667953,780.505077,289.523146,478.556969,4.030435,0.7863599061965942,50.0,48.6,21271.5859375
1,PNA,22,65,1775703855.4544144,781.015195,289.498965,479.14069,3.834842,0.8099915385246277,92.0,99.3,21259.8515625
1,PNA,22,66,1775703855.7374833,282.632384,103.735346,169.579997,3.72012,0.7895024418830872,100.0,101.2,21255.81640625
1,PNA,23,67,1775703857.648129,777.893665,288.671413,476.78064,4.021875,0.7733598947525024,58.0,52.4,21268.04296875
1,PNA,23,68,1775703858.430183,776.581484,287.431483,476.661939,3.891303,0.8125852346420288,92.0,99.8,21259.05078125
1,PNA,23,69,1775703858.7220793,291.407418,108.614336,173.494881,3.707801,0.8130474090576172,100.0,100.8,21258.1875
1,PNA,24,70,1775703860.6438131,780.180573,289.456635,478.369176,4.053787,0.8062784671783447,61.0,53.2,21271.10546875
1,PNA,24,71,1775703861.4274435,777.152683,287.852839,476.813391,3.866613,0.7999352216720581,91.0,99.4,21263.3671875
1,PNA,24,72,1775703861.714944,287.069887,107.357395,170.347399,3.540308,0.7671056389808655,100.0,99.3,21260.5703125
1,PNA,25,73,1775703863.794256,779.498982,289.256082,477.497873,4.024736,0.7886556386947632,85.0,49.1,21269.625
1,PNA,25,74,1775703864.5763662,776.524803,287.430922,476.405544,3.859052,0.8013306260108948,93.0,99.7,21258.9453125
1,PNA,25,75,1775703864.8653998,288.59393,107.835283,171.592479,3.545567,0.8038496375083923,95.0,99.3,21250.515625
1,PNA,26,76,1775703866.9099872,776.877879,288.306547,476.342454,4.061676,0.7984053492546082,100.0,49.4,21266.68359375
1,PNA,26,77,1775703867.6907408,780.267074,289.18214,478.517409,3.875643,0.7974405884742737,100.0,100.3,21260.5234375
1,PNA,26,78,1775703867.9790285,287.839509,107.66521,171.383896,3.507767,0.7905609011650085,95.0,100.7,21258.25390625
1,PNA,27,79,1775703870.0240657,782.096844,290.380001,479.048147,4.051786,0.7864202857017517,70.0,50.1,21276.67578125
1,PNA,27,80,1775703870.8076835,778.134379,288.295497,477.481312,3.872513,0.7944023609161377,92.0,99.4,21267.89453125
1,PNA,27,81,1775703871.0911844,282.854648,104.111162,169.822851,3.543457,0.8245863318443298,100.0,99.7,21261.15234375
1,PNA,28,82,1775703873.0125954,782.500121,290.362721,479.533076,4.27878,0.7990785241127014,76.0,53.4,21276.34375
1,PNA,28,83,1775703873.7961257,777.729282,287.727747,476.814852,3.920544,0.799056887626648,91.0,100.5,21268.296875
1,PNA,28,84,1775703874.084647,287.85702,107.533748,171.232433,3.677029,0.7853585481643677,100.0,99.3,21262.4609375
1,PNA,29,85,1775703876.0198119,779.248157,289.245172,477.525152,4.027216,0.7977097034454346,70.0,53.4,21237.58203125
1,PNA,29,86,1775703876.80113,780.822573,289.217131,478.355277,4.296149,0.7972019910812378,94.0,101.4,21235.5234375
1,PNA,29,87,1775703877.0882707,286.415176,107.264504,170.282988,3.508727,0.7926586270332336,100.0,99.0,21235.625
1,PNA,30,88,1775703879.0107956,780.816453,289.602987,478.878425,4.058936,0.7926899194717407,75.0,53.3,21256.640625
1,PNA,30,89,1775703879.7896693,778.342312,288.075943,477.620344,3.899934,0.7956651449203491,94.0,100.1,21252.61328125
1,PNA,30,90,1775703880.077946,287.601135,107.345096,171.148723,3.313614,0.8075112700462341,98.0,100.9,21250.203125
