run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb,sampled_phase
1,PNA,1,1,1775429906.0881946,88.451014,48.331488,36.500795,2.916659,0.8323526382446289,0.0,1.4,20638.85546875,forward
1,PNA,1,2,1775429906.2416553,88.598948,48.036522,36.152478,2.881889,0.8053145408630371,,,,
1,PNA,1,3,1775429906.3933158,88.17417,47.86839,35.791643,2.967801,0.8419618606567383,,,,
1,PNA,1,4,1775429906.5472033,88.233071,47.573405,35.849674,2.977791,0.7746144533157349,,,,
1,PNA,1,5,1775429906.7038112,92.546735,49.220283,36.920182,4.681741,0.7869100570678711,26.0,1.4,20638.8984375,forward
1,PNA,1,6,1775429906.857254,87.752963,47.173717,36.047208,2.969101,0.7737736701965332,,,,
1,PNA,1,7,1775429907.0174444,95.907442,47.839429,43.290031,3.173825,0.7709219455718994,,,,
1,PNA,1,8,1775429907.1695218,89.005914,47.462493,37.067475,2.816488,0.7674997448921204,22.0,1.4,20638.6484375,backward
1,PNA,1,9,1775429907.3234081,88.530376,47.740978,36.150678,2.969111,0.8237156271934509,,,,
1,PNA,1,10,1775429907.4747157,87.449767,47.31821,35.722941,2.91786,0.8445610404014587,,,,
1,PNA,1,11,1775429907.6269643,87.58773,47.139927,35.896224,2.975901,0.7809138894081116,,,,
1,PNA,1,12,1775429907.7823734,91.400706,48.987729,37.503492,3.226016,0.7949115037918091,20.0,1.5,20639.8203125,forward
1,PNA,1,13,1775429907.9334564,88.036678,47.440502,36.040597,2.954321,0.79030442237854,,,,
1,PNA,1,14,1775429908.087063,89.298689,47.529334,37.109846,3.051002,0.7430612444877625,,,,
1,PNA,1,15,1775429908.2382965,87.510969,47.165037,35.884145,2.91436,0.7899969816207886,,,,
1,PNA,1,16,1775429908.3958468,89.37371,48.585802,36.16635,2.9479,0.7917251586914062,19.0,1.4,20639.5,forward
1,PNA,1,17,1775429908.5478673,88.344683,47.725127,36.048097,2.991582,0.8486083745956421,,,,
1,PNA,1,18,1775429908.699655,88.121199,47.493533,35.831894,3.208225,0.8415841460227966,,,,
1,PNA,1,19,1775429908.8534222,89.627065,47.706217,36.971783,3.256196,0.8516717553138733,,,,
1,PNA,1,20,1775429909.0082445,90.840295,48.256237,37.9728,3.074983,0.8020122647285461,20.0,1.3,20638.7578125,forward
1,PNA,1,21,1775429909.1611476,89.010865,47.871399,36.580496,3.003082,0.8070133328437805,,,,
1,PNA,1,22,1775429909.3194008,94.339095,47.741557,41.803656,3.174835,0.7882077693939209,,,,
1,PNA,1,23,1775429909.4729588,89.274579,47.807059,37.032804,2.860319,0.7378276586532593,31.0,1.5,20639.4921875,backward
1,PNA,1,24,1775429909.634372,99.800118,47.475013,46.542857,3.752393,0.8091325163841248,,,,
1,PNA,1,25,1775429909.7867563,87.907066,47.357921,35.997186,2.88175,0.833509624004364,,,,
1,PNA,1,26,1775429909.9409757,89.887649,47.603225,37.600044,3.056522,0.8391088247299194,,,,
1,PNA,1,27,1775429910.0950625,89.848328,48.503591,36.78368,2.975691,0.7403522729873657,27.0,1.3,20633.828125,forward
1,PNA,1,28,1775429910.24876,89.504413,48.825206,36.181109,2.88595,0.7272018790245056,,,,
1,PNA,1,29,1775429910.4015176,87.764863,47.114957,35.896345,2.976241,0.8027063608169556,,,,
1,PNA,1,30,1775429910.5547836,88.18737,47.651695,35.865015,2.973421,0.825245201587677,,,,
1,PNA,1,31,1775429910.7099895,91.845633,48.242556,37.662474,4.07516,0.8209743499755859,24.0,1.4,20633.60546875,forward
1,PNA,1,32,1775429910.86192,87.514108,47.337291,35.750373,2.908829,0.7982053756713867,,,,
1,PNA,1,33,1775429911.0216775,95.204021,47.691117,42.785163,3.110563,0.8052431344985962,,,,
1,PNA,1,34,1775429911.174033,89.260938,47.499734,37.279488,2.853269,0.7544506788253784,21.0,1.3,20633.109375,backward
1,PNA,1,35,1775429911.327596,89.410011,48.536341,36.315272,2.967811,0.7726888656616211,,,,
1,PNA,1,36,1775429911.4816427,90.943117,50.23336,36.108978,3.080303,0.7509052753448486,,,,
1,PNA,1,37,1775429911.6366618,89.490232,48.840106,36.078159,2.93844,0.8228511810302734,,,,
1,PNA,1,38,1775429911.7934737,91.466606,48.44304,36.919642,3.950408,0.7629157304763794,19.0,1.4,20633.3515625,forward
1,PNA,1,39,1775429911.9473014,88.080089,47.364851,36.151169,2.988101,0.7938512563705444,,,,
1,PNA,1,40,1775429912.0403702,86.313718,46.912904,34.110574,3.570391,1.0513560771942139,,,,
1,PNA,2,41,1775429912.3556745,89.909889,48.4202,37.785526,3.041093,0.8286980986595154,5.0,1.5,20636.9921875,forward
1,PNA,2,42,1775429912.5066648,87.013529,46.820242,35.66523,2.90373,0.8432145118713379,,,,
1,PNA,2,43,1775429912.6616614,88.294732,47.775988,35.905286,2.93541,0.802396297454834,,,,
1,PNA,2,44,1775429912.8154452,89.889909,47.271809,37.430351,3.445969,0.7982814908027649,,,,
1,PNA,2,45,1775429912.9714363,91.440426,48.498711,38.074342,3.138424,0.8128564953804016,22.0,1.4,20633.88671875,forward
1,PNA,2,46,1775429913.1314552,96.544824,47.354321,43.500355,3.715764,0.7914753556251526,,,,
1,PNA,2,47,1775429913.2828548,87.817763,47.439282,36.025676,2.870889,0.8100031018257141,,,,
1,PNA,2,48,1775429913.4374816,90.244405,47.936821,37.837188,2.849549,0.8705720901489258,27.0,1.4,20634.28515625,backward
1,PNA,2,49,1775429913.5900242,88.18204,47.433893,36.035527,2.970651,0.8413383960723877,,,,
1,PNA,2,50,1775429913.741151,87.544969,47.197118,35.794793,2.976291,0.8443642854690552,,,,
1,PNA,2,51,1775429913.8925347,88.554887,47.805468,36.158919,3.012312,0.7936631441116333,,,,
1,PNA,2,52,1775429914.0450902,88.920903,48.128614,36.301122,2.93133,0.7939720749855042,31.0,1.3,20633.9921875,forward
1,PNA,2,53,1775429914.1990428,89.703196,47.33975,36.853251,3.346577,0.8134768009185791,,,,
1,PNA,2,54,1775429914.3501713,87.040261,47.236579,35.385545,2.879239,0.7857892513275146,,,,
1,PNA,2,55,1775429914.5038211,89.969811,48.927378,36.549886,2.992051,0.7543764114379883,,,,
1,PNA,2,56,1775429914.6573558,89.702366,48.905397,36.353963,2.882099,0.7887675166130066,31.0,1.4,20633.93359375,forward
1,PNA,2,57,1775429914.8105853,87.878975,47.347181,35.906975,2.92976,0.7634665369987488,,,,
1,PNA,2,58,1775429914.9618447,87.942586,47.33036,35.644,3.217775,0.8330117464065552,,,,
1,PNA,2,59,1775429915.1138282,88.213141,47.651736,36.043127,2.94215,0.8140085935592651,,,,
1,PNA,2,60,1775429915.269256,91.586379,48.905778,37.076955,3.567471,0.7653422355651855,30.0,1.4,20633.50390625,forward
1,PNA,2,61,1775429915.42731,93.243057,47.633915,41.105214,3.018151,0.8436242341995239,,,,
1,PNA,2,62,1775429915.5799117,89.302019,47.851909,36.740009,2.998001,0.7455013394355774,,,,
1,PNA,2,63,1775429915.7430463,99.28753,47.218388,47.559885,2.825708,0.7616146802902222,28.0,1.4,20633.890625,backward
1,PNA,2,64,1775429915.897336,88.488385,47.978162,35.824324,2.96909,0.7883225679397583,,,,
1,PNA,2,65,1775429916.0481215,87.840464,47.207318,35.917485,3.208275,0.7981509566307068,,,,
1,PNA,2,66,1775429916.2006686,87.437967,47.194408,35.888304,2.872129,0.7609903216362,,,,
1,PNA,2,67,1775429916.3545623,89.558704,47.967151,36.597097,3.283687,0.7068077921867371,24.0,1.4,20634.05078125,forward
1,PNA,2,68,1775429916.5067267,87.755223,47.518193,35.739462,2.974851,0.7606301307678223,,,,
1,PNA,2,69,1775429916.6602094,89.214868,47.705897,36.716889,3.018492,0.8354029059410095,,,,
1,PNA,2,70,1775429916.8129935,87.951056,47.422342,36.018966,2.985352,0.8401157855987549,,,,
1,PNA,2,71,1775429916.9685435,89.42101,48.699564,36.081778,2.964621,0.8411131501197815,22.0,1.4,20634.00390625,forward
1,PNA,2,72,1775429917.1235998,90.939937,47.567905,38.546149,3.177284,0.7564493417739868,,,,
1,PNA,2,73,1775429917.2991877,88.041438,47.675456,35.992146,2.873479,0.7986984252929688,,,,
1,PNA,2,74,1775429917.4899476,90.246795,49.106501,36.553986,2.970071,0.8102623224258423,26.0,1.3,20634.03125,forward
1,PNA,2,75,1775429917.6420796,87.818654,47.575434,35.912816,2.905659,0.7648060321807861,,,,
1,PNA,2,76,1775429917.8018003,95.21644,47.659896,43.034357,2.93827,0.7393320798873901,,,,
1,PNA,2,77,1775429917.9622784,96.803277,47.380461,44.944069,2.90301,0.7877635955810547,24.0,1.4,20633.8671875,backward
1,PNA,2,78,1775429918.1146343,87.532429,47.095636,35.884815,3.004072,0.7630668878555298,,,,
1,PNA,2,79,1775429918.26873,89.132786,48.124154,36.446654,2.996842,0.7870261669158936,,,,
1,PNA,2,80,1775429918.3623214,86.635414,47.000564,35.506678,2.983472,0.9977638721466064,,,,
1,PNA,3,81,1775429918.6919527,90.108403,49.672371,36.700248,2.98968,0.8232989311218262,8.0,1.3,20634.18359375,forward
1,PNA,3,82,1775429918.843325,87.62209,47.060496,35.902884,2.94969,0.8529572486877441,,,,
1,PNA,3,83,1775429918.9963331,88.334393,47.654996,36.115018,3.065593,0.7820152044296265,,,,
1,PNA,3,84,1775429919.1480966,87.934536,47.768958,35.860914,2.881559,0.7542899250984192,,,,
1,PNA,3,85,1775429919.3023252,91.128261,48.649873,37.704506,3.145174,0.7977601885795593,25.0,1.5,20633.984375,forward
1,PNA,3,86,1775429919.4533982,87.785453,47.539714,35.903045,2.870359,0.8021074533462524,,,,
1,PNA,3,87,1775429919.605505,88.702239,47.642326,36.486255,2.96027,0.747326135635376,,,,
1,PNA,3,88,1775429919.7556672,87.730742,47.385332,35.768052,2.980591,0.7608692646026611,,,,
1,PNA,3,89,1775429919.9103162,89.803977,48.840456,36.297541,2.915009,0.7550390958786011,23.0,1.4,20628.06640625,forward
1,PNA,3,90,1775429920.063432,88.78818,47.123847,36.235331,3.735324,0.7908300161361694,,,,
1,PNA,3,91,1775429920.2172415,88.371193,47.699977,36.109969,2.997901,0.7844303846359253,,,,
1,PNA,3,92,1775429920.3708808,89.535373,47.725927,37.236878,2.94595,0.8866122961044312,,,,
1,PNA,3,93,1775429920.5259356,90.814635,48.45444,37.674535,3.021542,0.8044483661651611,21.0,1.3,20631.19140625,forward
1,PNA,3,94,1775429920.678072,88.451455,48.014152,35.891655,2.97173,0.7803224325180054,,,,
1,PNA,3,95,1775429920.8367708,94.234373,47.761547,41.845397,3.093323,0.8205847144126892,,,,
1,PNA,3,96,1775429920.9920225,89.706166,47.89539,37.33977,2.839288,0.8200221061706543,19.0,1.4,20630.765625,backward
1,PNA,3,97,1775429921.1460829,89.592144,47.343511,36.927482,3.53061,0.7781299948692322,,,,
1,PNA,3,98,1775429921.298751,87.737252,47.255059,35.958556,2.96334,0.7610384225845337,,,,
1,PNA,3,99,1775429921.4520268,89.632744,47.804079,37.210847,3.024971,0.8045163750648499,,,,
1,PNA,3,100,1775429921.6061418,89.845458,48.559412,36.677918,2.9557,0.804787814617157,20.0,1.3,20631.37890625,forward
1,PNA,3,101,1775429921.7587714,88.628747,47.919271,36.166969,2.967241,0.8620684146881104,,,,
1,PNA,3,102,1775429921.9102898,87.986007,47.548705,35.840544,3.003851,0.7843338847160339,,,,
1,PNA,3,103,1775429922.0611005,87.488378,47.231029,35.730081,2.960081,0.7938057780265808,,,,
1,PNA,3,104,1775429922.2163186,91.577218,48.834777,37.499162,3.471539,0.7937215566635132,24.0,1.4,20630.63671875,forward
1,PNA,3,105,1775429922.3672066,87.838384,47.476723,35.833984,2.960061,0.7714343070983887,,,,
1,PNA,3,106,1775429922.5202835,89.895749,47.791419,37.304098,3.173125,0.802563488483429,,,,
1,PNA,3,107,1775429922.6718302,88.591107,47.732977,36.143529,2.95715,0.8090958595275879,,,,
1,PNA,3,108,1775429922.8293397,92.663966,49.231573,38.668523,2.996071,0.8253426551818848,27.0,1.4,20630.51171875,forward
1,PNA,3,109,1775429922.9811769,87.811594,47.34714,35.823303,2.8811,0.7787538766860962,,,,
1,PNA,3,110,1775429923.138665,93.320968,47.31298,41.238496,3.144044,0.7195687890052795,,,,
1,PNA,3,111,1775429923.294136,91.099129,47.438652,38.537009,3.306227,0.7790786027908325,28.0,1.4,20630.99609375,backward
1,PNA,3,112,1775429923.4473073,88.273201,47.404962,36.260481,2.97632,0.8057351112365723,,,,
1,PNA,3,113,1775429923.6012356,89.174277,47.850529,36.715299,3.024132,0.7977420091629028,,,,
1,PNA,3,114,1775429923.7559168,88.956043,48.035173,36.319042,2.977101,0.7472237348556519,,,,
1,PNA,3,115,1775429923.9121556,90.066292,49.0395,36.339942,3.018371,0.8035787343978882,24.0,1.4,20631.60546875,forward
1,PNA,3,116,1775429924.071367,94.804753,47.788519,42.267193,3.103834,0.8188841342926025,,,,
1,PNA,3,117,1775429924.2235405,88.395424,47.700327,36.092029,3.031112,0.7931907176971436,,,,
1,PNA,3,118,1775429924.37981,93.080494,47.243739,41.133114,3.091932,0.8170021772384644,20.0,1.4,20632.21875,backward
1,PNA,3,119,1775429924.5336182,88.16383,47.453102,35.948096,3.169395,0.828496515750885,,,,
1,PNA,3,120,1775429924.6274078,86.635133,46.697869,35.108881,3.579082,0.7186048626899719,,,,
1,PNA,4,121,1775429924.9244,90.355667,49.02615,37.662595,3.015502,0.7513648867607117,21.0,1.4,20632.66015625,forward
