step_idx,generation,collected,uncollectable,duration_ms
2,2,0,0,132.054789
22,2,0,0,177.66226
37,2,0,0,135.295634
57,2,0,0,163.431296
76,2,0,0,130.068976
93,2,0,0,160.501895
111,2,0,0,149.932335
130,2,0,0,155.586181
148,2,0,0,132.421226
168,2,0,0,130.101702
185,2,0,0,131.407734
204,2,0,0,160.524396
221,2,0,0,151.380952
240,2,0,0,134.223131
258,2,0,0,153.785672
276,2,0,0,130.771513
297,2,0,0,133.759914
