run_num,project_name,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss
1,PNA,1,1775528546.9095683,90.56721,47.157978,39.074597,3.186284,0.8189477324485779
1,PNA,2,1775528547.1273675,90.903736,46.669108,39.061417,3.261566,0.8085139393806458
1,PNA,3,1775528547.502561,92.071345,47.770888,38.863273,3.212795,0.7804800271987915
1,PNA,4,1775528547.7229407,90.809104,46.939343,38.826183,3.214026,0.7694132924079895
1,PNA,5,1775528547.94408,91.075478,46.902752,39.000476,3.075363,0.8343381881713867
1,PNA,6,1775528548.1677883,93.261337,47.035896,39.672537,4.59287,0.7880783081054688
1,PNA,7,1775528548.3901553,93.958788,49.339195,39.21246,3.320487,0.7668973207473755
1,PNA,8,1775528548.610244,91.222241,47.120257,38.859184,3.229076,0.7911020517349243
1,PNA,9,1775528548.8303733,91.219611,46.872992,39.038797,3.223266,0.845445990562439
1,PNA,10,1775528549.0515115,91.104549,46.677269,39.068197,3.268137,0.827125072479248
1,PNA,11,1775528549.2756371,93.768715,47.159077,40.057554,4.476017,0.7978184819221497
1,PNA,12,1775528549.4967012,90.822224,46.940004,38.914224,3.026923,0.7736911773681641
1,PNA,13,1775528549.7176962,91.248712,47.026305,39.116907,3.241226,0.8365651965141296
1,PNA,14,1775528549.9349694,91.470325,47.064456,39.281631,3.203645,0.7340365648269653
1,PNA,15,1775528550.1583552,90.911526,46.915673,38.906195,3.014832,0.8142277002334595
1,PNA,16,1775528550.3798268,90.909555,47.026046,38.811972,3.019813,0.8098232746124268
1,PNA,17,1775528550.6029048,90.56668,46.863033,38.873153,3.001491,0.7801930904388428
1,PNA,18,1775528550.8216617,91.055828,47.038565,38.696751,3.226965,0.7621418237686157
1,PNA,19,1775528551.043198,91.274062,47.057326,38.952785,3.245867,0.7932610511779785
1,PNA,20,1775528551.1984892,86.241075,47.201889,34.411706,3.144615,0.8094473481178284
1,PNA,21,1775528551.4156477,90.410157,47.138366,38.886085,3.192995,0.8363335132598877
1,PNA,22,1775528551.770677,226.15519,180.975657,39.739008,3.305857,0.8006950616836548
1,PNA,23,1775528551.989207,90.998897,47.099287,38.965405,3.047263,0.8025148510932922
1,PNA,24,1775528552.207239,90.647531,46.738891,38.811973,3.260886,0.8406444787979126
1,PNA,25,1775528552.4271412,91.072998,47.203508,38.64598,3.170385,0.8432232141494751
1,PNA,26,1775528552.6451242,90.744233,46.936274,38.772092,3.034323,0.7942253351211548
1,PNA,27,1775528552.8633769,90.701133,46.903033,38.794393,3.016502,0.7999247312545776
1,PNA,28,1775528553.0814784,90.353786,46.661718,38.70485,3.034383,0.7718257308006287
1,PNA,29,1775528553.3006384,91.118899,47.174028,38.951345,3.050563,0.7986944913864136
1,PNA,30,1775528553.518529,91.12108,47.046305,38.981266,3.014622,0.7900514006614685
1,PNA,31,1775528553.7378497,90.516639,46.854022,38.786312,2.993732,0.7950637340545654
1,PNA,32,1775528553.9587116,90.770424,46.806682,39.026346,3.020652,0.775206446647644
1,PNA,33,1775528554.1793647,91.275112,46.946454,39.402853,3.005422,0.7800006866455078
1,PNA,34,1775528554.3999405,90.285596,46.579327,38.913005,3.028262,0.7341569662094116
1,PNA,35,1775528554.6201973,90.678031,46.698609,39.053387,3.034152,0.8382801413536072
1,PNA,36,1775528554.8416696,90.946587,47.153527,38.771883,3.034563,0.7993922829627991
1,PNA,37,1775528555.0626044,90.771243,46.863282,38.921455,3.083493,0.8048075437545776
1,PNA,38,1775528555.4492028,91.531657,47.146327,39.24289,3.003052,0.7525371313095093
1,PNA,39,1775528555.668617,90.951855,46.912333,38.928525,3.029882,0.775933563709259
1,PNA,40,1775528555.8244438,85.699555,46.7888,34.486108,2.954802,0.8001445531845093
1,PNA,41,1775528556.0416992,90.07798,46.971874,38.900914,3.062953,0.8385356068611145
1,PNA,42,1775528556.261808,90.500419,46.398784,39.117798,3.219266,0.7684824466705322
1,PNA,43,1775528556.4865692,92.236579,46.652598,40.454892,3.228605,0.8005790710449219
1,PNA,44,1775528556.7063468,91.010938,46.930263,38.861314,3.205816,0.7545955181121826
1,PNA,45,1775528556.9278908,91.17877,46.904723,38.937365,3.104953,0.7737154960632324
1,PNA,46,1775528557.14673,90.432507,46.738959,38.737552,3.217106,0.836103081703186
1,PNA,47,1775528557.3652778,90.877305,46.853642,39.057367,3.059093,0.7927933931350708
1,PNA,48,1775528557.5859709,91.528886,46.820761,39.737159,3.189785,0.8209319710731506
1,PNA,49,1775528557.807071,90.796473,46.895503,39.006106,3.008472,0.7701089978218079
1,PNA,50,1775528558.0249672,90.928787,46.904603,38.876073,3.237926,0.805327296257019
1,PNA,51,1775528558.2456017,90.949766,47.041596,38.987025,3.021103,0.8239006400108337
1,PNA,52,1775528558.4657087,90.688541,46.848001,38.909594,3.006222,0.7942041754722595
1,PNA,53,1775528558.6905818,93.884507,47.467333,41.074191,3.208716,0.7878243923187256
1,PNA,54,1775528558.9110296,90.933966,46.833772,39.101458,3.047023,0.8178832530975342
1,PNA,55,1775528559.1323636,90.907376,47.087937,38.842363,3.005132,0.7495251893997192
1,PNA,56,1775528559.3529253,91.313252,47.072335,39.101468,3.040002,0.7932660579681396
