run_num,project_name,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss
1,PNA,1,1775528591.5477245,89.601383,46.582718,38.900483,2.964681,0.7683573365211487
1,PNA,2,1775528591.7634335,90.455398,46.309582,39.20651,3.006902,0.7942396402359009
1,PNA,3,1775528591.9807806,91.086669,47.334371,38.878833,2.985602,0.7607046365737915
1,PNA,4,1775528592.1970224,90.511559,46.782591,38.867124,2.996622,0.8160935640335083
1,PNA,5,1775528592.4118094,90.571739,46.811731,38.854234,2.988902,0.7504203915596008
1,PNA,6,1775528592.6284564,90.542729,46.631408,39.008556,2.992172,0.820486307144165
1,PNA,7,1775528592.8432674,90.267694,46.549486,38.756032,2.980952,0.8268872499465942
1,PNA,8,1775528593.0590086,90.62435,46.76579,38.756132,3.003522,0.796601414680481
1,PNA,9,1775528593.274283,90.775343,46.941764,38.905575,2.985081,0.7989789247512817
1,PNA,10,1775528593.4910681,90.774253,46.73942,39.069827,3.000933,0.8204468488693237
1,PNA,11,1775528593.704797,90.176363,46.646908,38.777822,2.977152,0.7845489978790283
1,PNA,12,1775528593.920591,90.247293,46.507385,38.811963,3.014582,0.8147763013839722
1,PNA,13,1775528594.1358204,90.945957,46.782541,39.143529,2.823709,0.7779697775840759
1,PNA,14,1775528594.350644,90.476078,47.001465,38.553348,3.004862,0.7928581833839417
1,PNA,15,1775528594.5670462,90.857665,46.848061,39.073048,3.016112,0.8153965473175049
1,PNA,16,1775528594.7825766,90.639191,46.76393,38.783232,3.004532,0.7838945984840393
1,PNA,17,1775528594.998425,90.662262,46.74389,38.839034,2.990951,0.8069400787353516
1,PNA,18,1775528595.2134743,90.453598,46.619688,38.926594,2.962412,0.8172040581703186
1,PNA,19,1775528595.4293435,90.995937,47.045326,38.868344,3.234866,0.819153368473053
1,PNA,20,1775528595.5838718,85.876408,46.814081,34.693401,2.88967,0.7121850252151489
1,PNA,21,1775528595.7987087,89.99976,46.75182,39.115888,2.941181,0.8118690252304077
1,PNA,22,1775528596.0133088,90.774444,46.493396,39.129737,3.190735,0.8007996082305908
1,PNA,23,1775528596.2300153,90.60272,46.519866,38.929315,3.172295,0.7782015800476074
1,PNA,24,1775528596.4489672,94.280204,46.799051,42.401435,2.988022,0.8637481331825256
1,PNA,25,1775528596.6641784,90.718802,46.682749,39.107578,2.994081,0.789807140827179
1,PNA,26,1775528596.8802142,90.325726,46.503336,38.853534,3.018252,0.8472334146499634
1,PNA,27,1775528597.0968995,90.505179,46.75313,38.730472,2.992582,0.7789919376373291
1,PNA,28,1775528597.3133516,90.186233,46.543627,38.689301,2.997952,0.8499297499656677
1,PNA,29,1775528597.5299318,90.851724,46.768481,39.096387,2.999283,0.8222165107727051
