epoch,step_idx,step_ms
1,1,771.804576
1,2,780.542628
1,3,278.474609
2,4,769.872433
2,5,777.822791
2,6,285.554122
3,7,779.218415
3,8,771.075943
3,9,283.75503
4,10,776.64164
4,11,774.509504
4,12,278.174304
5,13,771.130164
5,14,779.350966
5,15,282.58569
6,16,773.490716
6,17,776.183322
6,18,278.867856
7,19,774.606825
7,20,773.993974
7,21,282.51364
8,22,775.117843
8,23,773.499057
8,24,284.589355
9,25,774.514724
9,26,772.829325
9,27,283.72136
10,28,776.172592
10,29,773.021718
10,30,283.172341
11,31,778.533373
11,32,772.364827
11,33,281.99632
12,34,776.809173
12,35,773.880963
12,36,282.00237
13,37,772.787823
13,38,776.365896
13,39,282.791223
14,40,775.361559
14,41,775.262637
14,42,279.170931
15,43,775.019051
15,44,774.196519
15,45,282.910785
16,46,773.655899
16,47,777.558586
16,48,282.882806
17,49,773.634718
17,50,775.682624
17,51,282.512539
18,52,775.289487
18,53,773.72339
18,54,284.324591
19,55,780.567247
19,56,769.15014
19,57,283.78413
20,58,772.962777
20,59,774.404792
20,60,283.886592
21,61,774.841679
21,62,774.701386
21,63,282.302325
22,64,775.48999
22,65,776.730941
22,66,277.484392
23,67,773.319113
23,68,772.104051
23,69,286.535039
24,70,775.554732
24,71,773.535806
24,72,283.448715
25,73,773.833421
25,74,773.367234
25,75,285.4409
26,76,771.98075
26,77,777.141898
26,78,284.603845
27,79,776.327845
27,80,774.87165
27,81,279.868573
28,82,777.272591
28,83,772.286284
28,84,283.014847
29,85,774.959851
29,86,776.02175
29,87,282.328836
30,88,775.822976
30,89,773.708439
30,90,282.655542
31,91,777.884562
31,92,773.076788
31,93,283.437486
32,94,777.952922
32,95,773.462494
32,96,278.301466
33,97,773.359664
33,98,775.862357
33,99,283.673019
34,100,776.208863
34,101,771.035644
34,102,285.472951
35,103,774.532374
35,104,774.173178
35,105,284.168638
36,106,774.859679
36,107,776.435276
36,108,279.352984
37,109,775.081104
37,110,773.984014
37,111,284.185768
38,112,775.702004
38,113,772.923606
38,114,283.006868
39,115,777.078698
39,116,772.281825
39,117,283.805231
40,118,773.643108
40,119,775.080473
40,120,283.924383
