run_num,project_name,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss
1,PNA,1,1775521244.7740543,86.593758,47.441284,35.574434,2.846819,0.8323585987091064
1,PNA,2,1775521244.9240358,87.318111,47.418005,35.636914,2.851558,0.8053216934204102
1,PNA,3,1775521245.0722008,86.66518,47.082429,35.372179,2.804677,0.8419721126556396
1,PNA,4,1775521245.2210226,87.22415,47.248531,35.577824,2.839999,0.7746293544769287
1,PNA,5,1775521245.3700185,87.914391,47.626908,35.911909,2.809138,0.7869218587875366
1,PNA,6,1775521245.5294123,97.332501,47.15179,45.740776,3.012291,0.7737770080566406
1,PNA,7,1775521245.6786594,87.403592,47.639428,35.537813,2.825358,0.7709317207336426
1,PNA,8,1775521245.8281484,87.505254,47.499855,35.733316,2.813608,0.7675110697746277
1,PNA,9,1775521245.9770331,87.154568,47.347933,35.582404,2.810418,0.8237259387969971
1,PNA,10,1775521246.1244426,86.984865,47.18433,35.455131,2.837938,0.8445708751678467
1,PNA,11,1775521246.2736626,86.573418,46.952677,35.40221,2.825508,0.7809146642684937
1,PNA,12,1775521246.4244547,88.45098,47.397934,36.734522,2.839798,0.794926643371582
1,PNA,13,1775521246.5741613,87.322842,47.444535,35.619545,2.818528,0.7903122305870056
1,PNA,14,1775521246.7234776,87.033106,47.278832,35.42678,2.90295,0.7430738210678101
1,PNA,15,1775521246.8729136,87.22797,47.18801,35.620613,3.007301,0.7900111675262451
1,PNA,16,1775521247.0325463,97.268469,47.218201,45.443,3.049141,0.7917340993881226
1,PNA,17,1775521247.1820283,87.700677,47.703209,35.559783,2.830098,0.848625659942627
1,PNA,18,1775521247.335774,91.651974,51.345111,35.809028,2.914519,0.8415988683700562
1,PNA,19,1775521247.485673,87.313111,47.583198,35.39647,2.810678,0.8516833782196045
1,PNA,20,1775521247.636029,87.643717,47.431064,35.903439,2.857789,0.8020261526107788
1,PNA,21,1775521247.7857091,87.196159,47.337243,35.606734,2.849159,0.8070223331451416
1,PNA,22,1775521247.936421,87.585766,47.441144,35.816207,2.852958,0.7882174253463745
1,PNA,23,1775521248.0862672,87.26814,47.485206,35.548513,2.823488,0.7378340363502502
1,PNA,24,1775521248.2351592,88.297108,47.179309,36.846505,2.864319,0.8091450929641724
1,PNA,25,1775521248.3841858,87.661847,47.393694,35.913539,2.766007,0.833525538444519
1,PNA,26,1775521248.535037,89.02779,48.999811,35.735947,2.859508,0.8391162157058716
1,PNA,27,1775521248.6843438,87.193808,47.253021,35.625245,2.819978,0.7403674125671387
1,PNA,28,1775521248.8339255,88.347068,48.227808,35.835717,2.859109,0.7272089123725891
1,PNA,29,1775521248.983487,87.113957,47.252501,35.494552,2.819378,0.802715539932251
1,PNA,30,1775521249.1346114,88.281887,47.148619,36.877806,2.848828,0.8252595663070679
1,PNA,31,1775521249.282824,87.217009,47.273302,35.737176,2.824178,0.8209847211837769
1,PNA,32,1775521249.4345305,87.902931,47.277712,36.402247,2.827678,0.7982168793678284
1,PNA,33,1775521249.5832982,87.051957,47.251551,35.581194,2.826988,0.8052617907524109
1,PNA,34,1775521249.7343066,89.404476,48.865489,36.312415,2.810988,0.7544652223587036
1,PNA,35,1775521249.8826702,87.336831,47.457985,35.614724,2.853408,0.7727153301239014
1,PNA,36,1775521250.0332205,89.05604,49.319586,35.424161,2.960221,0.7509142160415649
1,PNA,37,1775521250.1828609,87.197019,47.395924,35.564593,2.758487,0.8228704929351807
1,PNA,38,1775521250.3321173,87.2878,47.109699,35.887328,2.852249,0.7629367709159851
1,PNA,39,1775521250.4821396,87.814969,47.15282,36.456398,2.819368,0.7938767671585083
1,PNA,40,1775521250.5733776,84.792899,46.754163,34.17581,2.822618,1.0513722896575928
1,PNA,41,1775521250.8986177,85.987098,47.234871,35.232938,2.800767,0.8287208080291748
1,PNA,42,1775521251.046232,86.848593,46.987627,35.597764,2.823518,0.8432360887527466
1,PNA,43,1775521251.1950755,87.007585,47.383134,35.42456,2.808988,0.8024265766143799
1,PNA,44,1775521251.3436844,86.926214,47.094989,35.422881,2.844048,0.7982956171035767
1,PNA,45,1775521251.4922967,86.891103,47.225691,35.478772,2.790878,0.8128781318664551
1,PNA,46,1775521251.6421957,88.154386,47.033157,36.925976,2.839718,0.7914991974830627
1,PNA,47,1775521251.7938604,90.293842,49.585782,36.369067,2.920329,0.8100265264511108
1,PNA,48,1775521251.9431477,87.612166,47.672689,35.694986,2.837138,0.8705977201461792
1,PNA,49,1775521252.095239,90.631728,47.139339,38.992951,3.092982,0.841362476348877
1,PNA,50,1775521252.2516584,95.550871,47.231551,42.935018,3.952057,0.8443934917449951
1,PNA,51,1775521252.4001114,87.25962,47.442514,35.583333,2.835328,0.7936830520629883
1,PNA,52,1775521252.548034,87.2415,47.151649,35.737157,2.825888,0.7940142154693604
1,PNA,53,1775521252.6963627,86.730941,47.065878,35.40017,2.841889,0.8135015964508057
1,PNA,54,1775521252.8454664,87.23738,47.367734,35.646765,2.817538,0.7858099937438965
1,PNA,55,1775521252.9938855,87.356091,47.588387,35.520942,2.847258,0.7544018030166626
1,PNA,56,1775521253.1419556,86.852363,47.263061,35.457452,2.799187,0.7887845635414124
1,PNA,57,1775521253.2917922,87.475223,47.384493,35.870889,2.830328,0.7634971141815186
1,PNA,58,1775521253.4435985,90.341573,49.834665,36.083192,2.96073,0.8330626487731934
1,PNA,59,1775521253.5945835,88.899637,49.293257,35.377949,2.830538,0.8140414357185364
1,PNA,60,1775521253.745667,89.275544,49.067082,35.921919,2.845769,0.7653806805610657
1,PNA,61,1775521253.8967865,89.092481,49.385508,35.477851,2.812948,0.8436722159385681
1,PNA,62,1775521254.0474849,89.01518,49.129633,35.622034,2.842319,0.7455536127090454
1,PNA,63,1775521254.1981528,88.902748,49.017842,35.531423,2.875968,0.7616411447525024
1,PNA,64,1775521254.3483434,87.897731,47.665958,36.051832,2.840978,0.788345217704773
1,PNA,65,1775521254.4969704,86.989476,47.16043,35.551453,2.870678,0.7981868386268616
1,PNA,66,1775521254.6466467,87.334231,47.369194,35.691216,2.865988,0.7610499858856201
1,PNA,67,1775521254.7959516,87.896831,47.238041,36.414267,2.832918,0.706835150718689
1,PNA,68,1775521254.9460213,87.88108,47.818891,35.850708,2.839048,0.7607049942016602
1,PNA,69,1775521255.0959597,87.577296,47.280732,36.015642,2.746746,0.83546382188797
1,PNA,70,1775521255.256217,97.277079,47.320072,45.593563,2.932329,0.8401820659637451
1,PNA,71,1775521255.4052842,86.894724,47.319112,35.320559,2.855799,0.8412028551101685
1,PNA,72,1775521255.5554821,87.468913,47.551537,35.668735,2.854528,0.7565134763717651
1,PNA,73,1775521255.7066295,88.203186,47.75396,36.205955,2.852108,0.7987551093101501
1,PNA,74,1775521255.8574462,87.534095,47.329163,35.94329,2.863159,0.8102951049804688
1,PNA,75,1775521256.0076025,87.478584,47.667588,35.547773,2.862239,0.7648811936378479
1,PNA,76,1775521256.1582503,87.865281,47.599167,35.9482,2.876209,0.7393916845321655
1,PNA,77,1775521256.3083413,87.986902,47.312683,36.406608,2.876458,0.7878373861312866
1,PNA,78,1775521256.4582853,88.077394,47.378474,36.389017,2.881679,0.7631503343582153
1,PNA,79,1775521256.6075487,87.377062,47.572997,35.574114,2.836858,0.7871326208114624
1,PNA,80,1775521256.6995409,85.293026,47.954794,33.61067,2.861738,0.997967541217804
1,PNA,81,1775521257.0035563,86.946785,47.795881,35.654315,2.787328,0.8233914971351624
1,PNA,82,1775521257.1516993,86.833672,47.002227,35.38535,3.024451,0.8530003428459167
1,PNA,83,1775521257.3016055,87.774908,47.670909,35.92165,2.781266,0.7820999026298523
