task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
e1_step_1,2026-04-07T15:24:25,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.09848760068416595,4.483243471946693e-08,4.503252804294529e-07,360.0,41.19826255515841,10.0,9.968491829931772e-06,1.1411120155457866e-06,2.7683055442240614e-07,1.1386434399899897e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_11,2026-04-07T15:24:26,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10541932471096516,4.599263021572893e-08,4.3773656219808387e-07,360.0,37.776275079147055,10.0,1.0312460362911155e-05,1.0822230862572724e-06,2.864146242953028e-07,1.1681098073463778e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_21,2026-04-07T15:24:27,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.09917646087706089,4.533447511518296e-08,4.577150128430873e-07,360.0,47.564396642452586,10.0,9.926577471196674e-06,1.3116677166635782e-06,2.756962293965973e-07,1.1513941417256755e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_29,2026-04-07T15:24:28,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10266499780118465,4.662484493632507e-08,4.549120124634204e-07,360.0,45.35057437879058,10.0,1.0263554751873067e-05,1.293056591578079e-06,2.850551106449648e-07,1.1841666454096185e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_39,2026-04-07T15:24:29,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10293301194906235,4.764753514464648e-08,4.6374748570688096e-07,360.0,43.6548359254898,10.0,1.0531680099666076e-05,1.2772232409474782e-06,2.925035233298934e-07,1.21014068639434e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_49,2026-04-07T15:24:30,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10925468429923058,4.8580310136679554e-08,4.4516479310312395e-07,360.0,36.52333100427796,10.0,1.0926237702369584e-05,1.108611996869513e-06,3.0346112325787774e-07,1.2338310822497056e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_57,2026-04-07T15:24:31,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10103721916675568,4.671775015602699e-08,4.634521440763833e-07,360.0,53.17637703668302,10.0,1.0093808174133382e-05,1.491112293194874e-06,2.8034183196723656e-07,1.1865262299295574e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_67,2026-04-07T15:24:32,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10213863104581833,4.7167636997233983e-08,4.632658080543183e-07,360.0,53.07903731836344,10.0,1.0193389840423969e-05,1.5030567581675314e-06,2.8307688319020716e-07,1.1979523481781646e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_76,2026-04-07T15:24:34,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10056884400546551,4.493296735597664e-08,4.4463731717560544e-07,360.0,35.63016566818878,10.0,1.0128170624375396e-05,1.0025007952663145e-06,2.8129601851105385e-07,1.1411967438152825e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_86,2026-04-07T15:24:35,PNA,8123d17f-ad2b-47f5-aa6a-d1945d7ac6dd,0.10248845256865025,4.764712965660506e-08,4.657186351795476e-07,360.0,55.12067789777266,10.0,1.0247525572776826e-05,1.5691679280394055e-06,2.846103782455116e-07,1.210130387906171e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
