epoch,step_idx,step_ms
1,1,108.654975
1,2,88.257066
1,3,87.723819
1,4,87.891592
1,5,93.362149
1,6,88.361029
1,7,88.742825
1,8,100.3029
1,9,88.494221
1,10,87.511395
1,11,87.256581
1,12,88.536681
1,13,88.634543
1,14,87.881921
1,15,100.829729
1,16,87.78632
1,17,91.935967
1,18,89.828053
1,19,88.330148
1,20,88.330428
1,21,88.253797
1,22,104.053111
1,23,88.41116
1,24,94.581559
1,25,88.003523
1,26,89.496808
1,27,88.135375
1,28,109.319095
1,29,88.028104
1,30,88.040574
1,31,88.038144
1,32,88.209657
1,33,88.054264
1,34,88.071143
1,35,101.871076
1,36,87.362953
1,37,88.296647
1,38,91.410948
1,39,88.379609
1,40,84.541678
2,41,103.653304
2,42,87.469005
2,43,88.478651
2,44,87.610007
2,45,95.721477
2,46,88.890558
2,47,88.202947
2,48,106.403558
2,49,88.290787
2,50,87.79361
2,51,88.625043
2,52,88.077944
2,53,87.728859
2,54,87.396363
2,55,100.602386
2,56,88.322958
2,57,91.858575
2,58,87.911622
2,59,87.927903
2,60,88.305187
2,61,88.791217
2,62,105.304111
2,63,88.43064
2,64,88.43775
2,65,88.159986
2,66,90.871499
2,67,87.282542
2,68,105.740607
2,69,88.47397
2,70,88.110595
2,71,87.513716
2,72,88.343009
2,73,88.371809
2,74,88.199527
2,75,113.603154
2,76,88.196097
2,77,88.394719
2,78,88.251547
2,79,98.020914
2,80,85.094637
3,81,109.135052
3,82,87.642598
3,83,88.43465
3,84,88.274068
3,85,88.281838
3,86,88.43199
3,87,87.983193
3,88,104.61766
3,89,88.563942
3,90,88.009193
3,91,88.310638
3,92,87.922702
3,93,88.080084
3,94,89.078381
3,95,101.282915
3,96,89.966974
3,97,92.020528
3,98,87.742408
3,99,88.327268
3,100,87.951892
3,101,88.191016
3,102,108.40171
3,103,88.067084
3,104,88.143515
3,105,87.711618
3,106,88.916578
3,107,88.325858
3,108,104.789203
3,109,87.952202
3,110,87.77425
3,111,88.281257
3,112,88.238648
3,113,88.022594
3,114,88.149456
3,115,108.702816
3,116,88.035064
3,117,88.548862
3,118,88.176506
3,119,90.31094
3,120,85.91851
4,121,100.758709
4,122,87.870302
4,123,87.657808
4,124,88.408669
4,125,87.672487
4,126,88.380429
4,127,87.877611
4,128,103.892038
4,129,88.362389
4,130,89.305994
4,131,88.663854
4,132,88.053914
4,133,88.479871
4,134,88.43643
4,135,111.427119
4,136,88.204337
4,137,88.232757
4,138,88.43667
4,139,88.780165
4,140,88.486451
4,141,88.140475
4,142,101.974397
4,143,89.813332
4,144,88.651364
4,145,88.267067
4,146,89.622949
4,147,87.504015
4,148,107.539497
4,149,87.919941
4,150,88.784205
4,151,88.102214
4,152,87.962883
4,153,88.033714
4,154,88.43715
4,155,105.2476
4,156,88.343168
4,157,88.103615
4,158,89.573699
4,159,88.321328
4,160,84.72523
5,161,104.733352
5,162,87.726599
5,163,88.086934
5,164,88.010593
5,165,87.893632
5,166,88.272998
5,167,87.892921
5,168,105.341971
5,169,88.006323
5,170,91.704882
5,171,87.976672
5,172,88.281187
5,173,88.235817
5,174,88.537071
5,175,106.693932
5,176,88.057254
5,177,88.103735
5,178,88.058874
5,179,88.587952
5,180,93.790705
5,181,88.566753
5,182,116.789345
5,183,88.450651
5,184,87.852801
5,185,88.213936
5,186,89.642149
5,187,87.86567
5,188,106.647812
5,189,88.516662
5,190,88.704924
5,191,88.117804
5,192,87.700578
5,193,88.644243
5,194,87.761169
5,195,104.118652
5,196,88.482321
5,197,88.457101
