epoch,step_idx,step_ms,forward_ms,backward_ms,optimizer_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
1,1,778.167396,288.353892,476.077717,4.012473,0.00011962157733915119,7.782053761184213e-05,3.9639476156594355e-05,2.1615635707146607e-06,4.709926188258092e-07
1,2,787.975771,290.582878,481.502502,3.751009,0.0001220862334138143,7.878667470067745e-05,4.111114400018323e-05,2.188414712953899e-06,4.806968448102187e-07
1,3,282.914427,104.220446,169.586298,3.510725,6.624606311799114e-05,4.735491760075091e-05,1.7575847394368793e-05,1.3152981228712552e-06,2.608342696099067e-07
2,4,776.264905,287.274845,475.123321,4.419809,0.00011927538324868134,7.75991342961788e-05,3.952086494507512e-05,2.155384007427428e-06,4.696295297835203e-07
2,5,781.422717,289.600051,478.912521,3.74486,0.00012200703091587266,7.812933959066865e-05,4.170753337007227e-05,2.1701579551315942e-06,4.803849964568276e-07
2,6,289.009754,107.908374,172.008786,3.444505,6.66729362602406e-05,4.7728383541107214e-05,1.761890298723756e-05,1.3256497318959895e-06,2.625150207222636e-07
3,7,785.897118,290.898953,481.548053,3.979353,0.00011925634233151284,7.855978440493333e-05,3.8514475249940006e-05,2.182082676639156e-06,4.695545589325954e-07
3,8,775.820899,286.898909,475.875463,3.883731,0.0001216302371480401,7.757364604622135e-05,4.190197796560824e-05,2.1546131362103758e-06,4.789014256210617e-07
3,9,288.101378,107.380654,171.302934,3.627587,7.198387539554497e-05,4.989197570830564e-05,2.070612767113289e-05,1.3857720161063785e-06,2.8342607362260536e-07
4,10,782.526565,289.886057,479.138705,3.998813,0.00011898192670481552,7.822306379675877e-05,3.858614196872168e-05,2.172720939334895e-06,4.684740871854413e-07
4,11,779.998895,288.549825,478.283872,3.981163,0.00012183863094409296,7.798793222755195e-05,4.1684477793069163e-05,2.1662209234717833e-06,4.797219459814631e-07
4,12,285.991865,103.935692,169.657618,3.642178,6.949454731826213e-05,4.8589945957064774e-05,1.9555015640548845e-05,1.3495857206483644e-06,2.7362470520466556e-07
5,13,777.039489,287.933396,475.707471,3.953423,0.0001162573733596876,7.767592947930096e-05,3.6423918032824076e-05,2.157525847562488e-06,4.5774655337677007e-07
5,14,784.197961,290.058509,480.879033,3.871761,0.00012252142139132548,7.840984705835595e-05,4.193364466686944e-05,2.1779296661002766e-06,4.824103343809872e-07
5,15,286.892679,107.495647,170.36123,3.475075,7.124379426515009e-05,4.7789193317293935e-05,2.2127239915903374e-05,1.3273610319528375e-06,2.805121114637553e-07
6,16,779.955574,289.108524,477.432989,3.965332,0.00011995281758840756,7.796771209687015e-05,3.9819476299385315e-05,2.165629192151956e-06,4.722968292862293e-07
6,17,780.995121,289.166296,478.703458,3.892662,0.0001222217221710075,7.809041179716565e-05,4.1962255792782344e-05,2.1690545810593436e-06,4.812303121494001e-07
6,18,283.285602,104.418578,169.746151,3.440374,6.642728379596154e-05,4.7491510026156925e-05,1.7616680750620617e-05,1.319093019184144e-06,2.615477997572375e-07
7,19,780.668136,289.177616,477.672082,4.072685,0.0001187874499462469,7.80414080247282e-05,3.857836419740579e-05,2.167677724113071e-06,4.677083631425359e-07
7,20,778.966999,288.145499,477.53962,3.76998,0.00012211673479113833,7.788201943039873e-05,4.207142254131213e-05,2.1632928194271253e-06,4.808169395615433e-07
7,21,286.88731,107.196062,170.456452,3.554787,6.953861414867816e-05,4.7535778582095956e-05,2.0682516549186403e-05,1.3203190173953803e-06,2.7379821196090996e-07
8,22,780.680946,289.077534,478.106609,3.995753,0.00011745019571126475,7.803246676921834e-05,3.725030758516823e-05,2.1674213568783517e-06,4.624431184585895e-07
8,23,777.396973,287.593801,476.317871,3.936502,0.00011812259164271314,7.772907633334407e-05,3.8234475027820736e-05,2.1590402815490966e-06,4.650905799591418e-07
8,24,288.184051,107.625539,171.474537,3.461834,7.102039740688147e-05,4.804969858378163e-05,2.1636128423097034e-05,1.3345704000029308e-06,2.796325187209244e-07
9,25,780.843308,289.029204,478.152879,3.978783,0.00011988869943443774,7.804749123752107e-05,3.967336508026165e-05,2.1678431166542863e-06,4.720443733504038e-07
9,26,778.145016,287.876645,477.387848,3.80354,0.00012166966669109689,7.780867256224153e-05,4.169975558454553e-05,2.1612385443101274e-06,4.790566737306126e-07
9,27,288.561856,107.74248,171.352146,3.620287,6.897613944187395e-05,4.830554667860278e-05,1.932890435796253e-05,1.3416884053084652e-06,2.71583549346741e-07
10,28,781.611051,289.37548,478.637017,4.051424,0.00011743171351296343,7.814186867326515e-05,3.711947412909922e-05,2.1703707105997513e-06,4.623703474822041e-07
