epoch,step_idx,step_ms,forward_ms,backward_ms,optimizer_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
1,1,93.579309,47.660598,39.143942,3.07744,,,,,
1,2,93.444108,47.383374,39.62995,4.505363,,,,,
1,3,91.632319,47.929934,38.857767,2.959757,6.580028789811526e-05,5.2722277864813896e-05,1.1613620401362823e-05,1.4643896319386024e-06,2.5907909430719636e-07
1,4,93.090902,47.573488,38.797246,3.10627,,,,,
1,5,91.779291,47.958814,39.03461,2.907387,,,,,
1,6,91.635608,47.644668,39.00391,3.136821,6.644297423009297e-05,5.267244279384621e-05,1.230750983438611e-05,1.4630216018607245e-06,2.616095785669344e-07
1,7,92.96139,47.670849,38.642384,2.919217,,,,,
1,8,94.456714,47.864152,41.461078,3.256133,,,,,
1,9,92.254398,47.74381,39.351365,3.165961,6.6249590447501e-05,5.293890424072742e-05,1.184028725731423e-05,1.4703989494591933e-06,2.608481579584832e-07
1,10,95.691545,48.810418,39.180562,3.194052,,,,,
1,11,91.739079,47.883782,38.830106,3.13114,,,,,
1,12,91.222402,47.272843,38.976319,2.935458,6.64429861817477e-05,5.284596979618079e-05,1.2129176369057859e-05,1.4678400165090948e-06,2.616096256248425e-07
1,13,93.687481,47.757731,39.181172,2.930277,,,,,
1,14,92.310659,47.890733,39.290454,3.06721,,,,,
1,15,91.753761,47.780021,38.975549,3.133481,6.961745690077558e-05,5.278734173625702e-05,1.5363901169962446e-05,1.4662139945560053e-06,2.741086438671921e-07
1,16,93.371346,47.799411,38.864627,2.894137,,,,,
1,17,91.466716,47.476816,38.885858,3.1272,,,,,
1,18,91.404354,47.857862,38.702944,2.928947,6.509670434562236e-05,5.248255599290142e-05,1.1156397803802065e-05,1.4577505489190388e-06,2.5630883607015705e-07
1,19,94.034597,47.75002,38.950268,2.951397,,,,,
1,20,96.301773,48.016795,43.661264,2.970187,5.096043172594456e-05,4.083485566079613e-05,8.991396072133284e-06,1.1341799930151956e-06,2.0064931201371895e-07
2,21,93.874215,48.060116,38.957309,3.062409,,,,,
2,22,91.863522,47.581438,39.124391,3.1357,,,,,
2,23,92.048904,47.934763,38.99102,3.10121,6.514059507660734e-05,5.268985517323027e-05,1.0987231007675291e-05,1.463508895701833e-06,2.564816494604215e-07
2,24,96.130632,47.719681,38.794736,2.928797,,,,,
2,25,91.07351,47.779391,38.601352,2.921848,,,,,
2,26,91.513557,47.71384,38.788936,3.137851,6.629905345580502e-05,5.266457088291625e-05,1.2171676416983246e-05,1.462806155905127e-06,2.610429113828598e-07
2,27,93.243354,47.777031,38.743125,2.897236,,,,,
2,28,94.587426,50.554615,38.850108,3.09109,,,,,
2,29,91.68362,48.045065,38.934659,2.966198,6.531532000384312e-05,5.292644388973705e-05,1.0918897615397327e-05,1.4699784987088734e-06,2.571696035309446e-07
2,30,93.56555,47.73757,39.017419,2.936338,,,,,
2,31,91.349805,47.560008,38.781606,2.959448,,,,,
