epoch,step_idx,step_ms,forward_ms,backward_ms,optimizer_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
1,1,776.795332,287.79162,475.779438,3.987234,0.00011513972881091873,7.768416330218315e-05,3.5297806007861254e-05,2.1577595008744166e-06,4.533459899947261e-07
1,2,785.298269,290.336051,481.793035,3.835942,0.00012153257894417487,7.851393371820442e-05,4.0837810459493085e-05,2.1808347664773467e-06,4.785169106011845e-07
1,3,283.216347,104.021451,169.765934,3.651139,6.930822149888143e-05,4.701161161065103e-05,2.0990850117641457e-05,1.3057597705887436e-06,2.7289107430314376e-07
2,4,774.616956,286.752663,474.960574,4.024695,0.00011788590220372869,7.744208239018912e-05,3.829280841216587e-05,2.1510114013734776e-06,4.641586496068127e-07
2,5,781.175931,289.175142,478.907198,3.861783,0.00012099295155120534,7.810375001281503e-05,4.071975479291723e-05,2.169446745473479e-06,4.763922059729874e-07
2,6,288.577593,107.71851,171.886437,3.513727,6.568082579396037e-05,4.7347667068242975e-05,1.7018069172536343e-05,1.3150895531806705e-06,2.5860872959091407e-07
3,7,784.792921,290.540515,481.115283,3.960865,0.00011845571447785096,7.846187967807034e-05,3.781447469464183e-05,2.1793601051386884e-06,4.6640220282854607e-07
3,8,775.090483,286.675863,475.577294,3.921574,0.0001203987868444124,7.75033071637155e-05,4.0742810369920335e-05,2.1526693107767263e-06,4.7405276857806867e-07
3,9,287.503996,107.173672,170.969002,3.653209,6.814369975925022e-05,4.7653427347540966e-05,1.9166681994420287e-05,1.3235904172890684e-06,2.683059387780241e-07
4,10,781.926645,289.666321,478.726705,3.978855,0.00011785866348549374,7.816556692123418e-05,3.752197446260652e-05,2.1711221016529564e-06,4.640514011026525e-07
4,11,779.534275,288.281418,478.103975,3.965734,0.00012028587664984162,7.794281952083109e-05,4.01780877012925e-05,2.164969427718054e-06,4.7360820105592154e-07
4,12,282.659347,103.707376,169.703561,3.656379,6.881296383986742e-05,4.787568375468239e-05,1.9607515682196208e-05,1.3297644029888777e-06,2.7094106906996326e-07
5,13,775.695064,287.272042,475.454213,4.017615,0.00011964681083333163,7.754970695823425e-05,3.994308751487097e-05,2.1540163602266026e-06,4.7109197205095975e-07
5,14,787.054738,289.697031,480.809379,3.933604,0.00011758927922707633,7.869614772498595e-05,3.670725159565791e-05,2.1858799064324995e-06,4.629907396386866e-07
5,15,286.558351,107.251153,170.274582,3.526897,7.017785462034394e-05,4.7375310398638324e-05,2.148668384904795e-05,1.3158603726575824e-06,2.763151286452299e-07
6,16,779.311582,288.640624,477.353303,4.191877,0.0001176694213582347,7.791065908968435e-05,3.7594752299696665e-05,2.164009968853652e-06,4.6330628766164445e-07
6,17,781.62899,288.957819,478.495012,3.888263,0.00012067277198032607,7.81470876187085e-05,4.035503228294601e-05,2.1706520786715915e-06,4.7513154533017205e-07
6,18,282.83244,104.143212,169.633622,3.561358,6.774117856116896e-05,4.669178910553457e-05,1.9752515811433113e-05,1.2968736442012897e-06,2.667210699154474e-07
7,19,779.735358,288.686985,477.545996,4.051185,0.00011593390656312267,7.794795874506216e-05,3.582086199571677e-05,2.1650858223438236e-06,4.564729497593767e-07
7,20,779.348042,288.083584,477.326922,3.898493,0.00011688881528211558,7.792054396122674e-05,3.68039183200608e-05,2.164353000827965e-06,4.602327644040467e-07
7,21,286.529689,107.07324,170.404643,3.541767,7.045705828094854e-05,4.74937224760651e-05,2.1644183988200894e-05,1.3191518166826845e-06,2.7741445258175366e-07
8,22,779.77962,288.745526,477.481645,4.027575,0.00011837403802390355,7.795159835368402e-05,3.8257252825246724e-05,2.1651868449731047e-06,4.6608061363204026e-07
8,23,776.809002,287.488345,476.270886,3.908913,0.00012022216902994685,7.766704596579065e-05,4.039781009623766e-05,2.1573129679179794e-06,4.733573615384972e-07
8,24,287.78535,107.432755,171.338149,3.515107,6.828447074987403e-05,4.757337216287861e-05,1.9389737730080014e-05,1.3213608569155122e-06,2.68860204145556e-07
9,25,779.989273,288.893268,477.068949,4.013005,0.00011952450115167938,7.798557691276065e-05,3.9372809268911624e-05,2.1661149700068823e-06,4.706103954111031e-07
9,26,777.997191,287.597046,476.803655,3.903653,0.00012049722251642782,7.77789868414403e-05,4.0557810237373815e-05,2.160425437614316e-06,4.744403447660751e-07
9,27,287.623277,107.63942,170.902191,3.539877,6.595999504446261e-05,4.731090944260375e-05,1.7335013865249493e-05,1.3140717366089436e-06,2.597079180426527e-07
10,28,780.239266,288.903648,477.915691,4.093176,0.00011683276627566866,7.800100855529304e-05,3.666530710688676e-05,2.166450613488749e-06,4.60012079566777e-07
10,29,777.912009,287.77792,476.898346,3.900743,0.00012193539196292055,7.777801454067219e-05,4.1996978040970134e-05,2.1603993812782858e-06,4.801029284653204e-07
10,30,286.880406,107.250174,170.635227,3.542417,6.95173562513798e-05,4.7359963320195604e-05,2.0841961116957464e-05,1.315431814226842e-06,2.737145120721271e-07
11,31,782.520004,290.102618,479.066821,4.038185,0.00011827254331443424,7.823448199778798e-05,3.786503029346022e-05,2.1730310231861166e-06,4.6568099292754186e-07
11,32,777.37698,287.568346,476.55226,4.018775,0.00012116079746606664,7.772760502994074e-05,4.127419968824597e-05,2.158992747879686e-06,4.770530749295584e-07
11,33,286.259694,107.08188,170.17848,3.537007,6.974747784690115e-05,4.827656485140337e-05,2.0130016110897486e-05,1.340896884600317e-06,2.746205824929844e-07
12,34,780.968638,289.138852,478.502951,4.128517,0.00011980261170572212,7.808485683053748e-05,3.954892052604464e-05,2.168834349140528e-06,4.717054153990126e-07
12,35,778.203684,287.913142,477.104018,3.915863,0.00012056314043717379,7.779798805713665e-05,4.060419915674629e-05,2.1609532232913763e-06,4.746998870226683e-07
