task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
e1_opt_39,2026-04-07T15:24:29,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.007533840835094452,1.8109227343091115e-09,2.4388513238026736e-07,360.0,0.0,10.0,4.4755022972830724e-07,0.0,1.238358931409311e-08,4.5993381904245456e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_49,2026-04-07T15:24:30,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.04913119785487652,2.1405977309116517e-08,4.3847901867191823e-07,360.0,0.0,10.0,5.289795994758506e-06,0.0,1.4684285658101256e-07,5.436638851339607e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_49,2026-04-07T15:24:30,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.04044325836002827,2.0509009655513737e-08,5.116761360146176e-07,360.0,100.00732424632625,10.0,3.989484161138514e-06,1.108611996869513e-06,1.1073299683630729e-07,5.208829154844429e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_49,2026-04-07T15:24:30,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.008348282426595688,2.2937825874305413e-09,2.8764250260580286e-07,360.0,0.0,10.0,5.668740719556777e-07,0.0,1.569533617132399e-08,5.825694081270424e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_57,2026-04-07T15:24:31,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.049231650307774544,2.550376550513573e-08,5.23697601235081e-07,360.0,110.61629767528555,10.0,4.851603880524739e-06,1.491112293194874e-06,1.3466910976502684e-07,6.477385283484545e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_57,2026-04-07T15:24:31,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.04010549560189247,1.600065282739001e-08,4.0293529210156486e-07,360.0,0.0,10.0,3.954059444367854e-06,0.0,1.097480404294192e-07,4.06380748479724e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_57,2026-04-07T15:24:31,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.004738155752420425,1.932520978689979e-09,4.0265984707613657e-07,360.0,0.0,10.0,4.776002839206907e-07,0.0,1.3216766011385158e-08,4.908170499321775e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_67,2026-04-07T15:24:32,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.05199388600885868,2.545177818823634e-08,4.927482654664004e-07,360.0,112.06906534835095,10.0,4.827135428786241e-06,1.5030567581675314e-06,1.3398948229021178e-07,6.4641816692439635e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_67,2026-04-07T15:24:32,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.038768231868743896,1.5419010315005648e-08,4.026351351526401e-07,360.0,0.0,10.0,3.8103312253951263e-06,0.0,1.0575208709471634e-07,3.916083312489795e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_67,2026-04-07T15:24:32,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.00454680435359478,1.798688228408398e-09,4.0205552364930576e-07,360.0,0.0,10.0,4.4452510774141245e-07,0.0,1.2301420792940087e-08,4.568265285344406e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
