epoch,step_idx,step_ms,forward_ms,backward_ms,optimizer_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
4,71,91.887956,48.697039,38.426897,2.893909,,,,,
4,72,92.966225,49.635405,38.494308,2.914808,8.516902172922688e-05,5.8285354077816046e-05,2.526474243325083e-05,1.6189252181599534e-06,3.3534067581594964e-07
4,73,96.940611,48.722611,38.63416,2.770887,,,,,
4,74,93.032146,49.611144,38.584449,2.93045,,,,,
4,75,92.079709,48.753841,38.530499,2.919049,,,,,
4,76,93.162698,49.977802,38.333865,2.920479,,,,,
4,77,91.933547,48.759401,38.399526,2.899579,,,,,
4,78,91.904817,48.75205,38.356535,2.92756,8.490134540676425e-05,5.8415720239281656e-05,2.486307543847488e-05,1.6225497290078143e-06,3.3428673910220023e-07
4,79,92.998735,48.471727,38.289744,2.889459,,,,,
4,80,90.339031,48.490847,37.494141,2.874928,4.7661445103825816e-05,3.772935103625054e-05,8.884173766432468e-06,1.0479203011426679e-06,1.8766003045444162e-07
5,81,114.402506,69.356197,38.516159,3.069952,,,,,
5,82,100.917618,53.989049,41.544899,3.030841,,,,,
5,83,116.320868,64.843122,42.83151,4.979103,,,,,
5,84,113.120924,61.82865,42.79616,4.868492,,,,,
5,85,108.349703,61.735649,39.21537,3.892736,7.906875811855172e-05,5.8372237347066374e-05,1.9075293039350072e-05,1.621227732135189e-06,3.1132177222488945e-07
5,86,112.061216,62.9373,40.289788,2.921429,,,,,
5,87,100.500282,53.875166,41.253655,3.053582,,,,,
5,88,111.184331,66.54609,39.20335,3.070922,,,,,
5,89,123.031821,67.462385,47.806575,4.879412,,,,,
5,90,103.275099,58.659538,39.19848,3.063491,7.81722069735603e-05,5.7287641242146454e-05,1.929334875683253e-05,1.5912169745812824e-06,3.07791732067555e-07
5,91,101.123852,49.812999,41.827664,3.585321,,,,,
5,92,99.548985,49.29988,43.524852,3.60748,,,,,
5,93,104.160082,53.559301,43.472432,3.57991,,,,,
5,94,97.856827,49.164507,42.275562,3.622911,,,,,
5,95,104.100082,55.198349,41.729363,3.610861,8.000813032234006e-05,5.294989719986914e-05,2.5587520482872605e-05,1.4707126395983821e-06,3.150204140933211e-07
5,96,108.546797,54.881893,44.723674,3.621591,,,,,
5,97,95.355595,48.847372,39.80694,3.920466,,,,,
5,98,94.608642,49.325041,38.739551,3.669323,,,,,
5,99,94.725714,49.096636,39.278441,3.57681,,,,,
5,100,93.449763,48.979465,38.387206,3.55419,7.217425785297805e-05,5.084264576435079e-05,1.9919460370942943e-05,1.4121517176843339e-06,2.8417567694835506e-07
6,101,102.16497,52.314341,42.453084,3.768124,,,,,
6,102,97.50381,49.262459,41.975797,3.61026,,,,,
6,103,103.155216,53.660043,42.681458,3.588881,,,,,
6,104,98.384166,49.641966,42.430314,3.592591,,,,,
6,105,98.684991,49.595125,42.729929,3.592591,7.371801144952076e-05,5.2350122854113654e-05,1.9913904822033146e-05,1.453983773373895e-06,2.90253982931531e-07
6,106,101.162712,54.193962,39.019377,3.737383,,,,,
6,107,110.122173,60.907665,42.652269,3.60795,,,,,
6,108,101.57588,54.0765,38.833274,3.773803,,,,,
6,109,108.69436,58.651387,42.968344,3.404008,,,,,
6,110,99.942323,54.09888,38.893875,3.719413,8.176593388632995e-05,5.470206644386062e-05,2.5544464875792983e-05,1.519402566676341e-06,3.2194151079176686e-07
6,111,110.837586,59.157316,43.280988,3.61595,,,,,
6,112,99.966593,54.11328,38.897475,3.718813,,,,,
6,113,111.223572,61.668217,43.071466,3.637581,,,,,
6,114,100.633615,54.460017,39.20405,3.734403,,,,,
6,115,109.32808,59.335909,42.986404,3.600251,7.667860658801457e-05,5.5528458394110214e-05,1.9607793461773326e-05,1.5423547321309644e-06,3.019108970817993e-07
6,116,100.659155,53.832226,39.036268,3.56177,,,,,
6,117,94.377399,49.28082,38.810513,3.56419,,,,,
6,118,93.652136,48.425865,38.703892,3.57295,,,,,
6,119,94.46065,49.284299,38.825323,3.593001,,,,,
6,120,93.29418,48.820422,38.524398,3.57164,9.801138859367141e-05,6.930631324648853e-05,2.678002142886271e-05,1.9250539183202745e-06,3.8590563354307727e-07
7,121,108.967064,59.706544,39.941142,4.7366,,,,,
7,122,111.299193,61.115709,40.364649,5.786837,,,,,
7,123,101.56785,55.468474,39.195249,3.698462,,,,,
7,124,111.610888,65.653305,39.253221,3.745433,,,,,
7,125,112.336451,66.242745,39.062338,3.754933,8.16854272191578e-05,5.85432672873139e-05,2.1516128313692207e-05,1.6260316181513964e-06,3.2162452746110203e-07
7,126,115.84717,65.30874,42.661248,3.630331,,,,,
7,127,99.873841,54.018269,38.868105,3.750543,,,,,
7,128,112.239779,66.00566,39.230931,3.719132,,,,,
7,129,111.246232,64.946032,39.22157,3.717963,,,,,
7,130,112.522454,66.224955,39.240151,3.737313,8.303659838193719e-05,5.734813306480639e-05,2.409557484384095e-05,1.5928904732896227e-06,3.269445680306661e-07
7,131,112.743777,65.33783,39.21574,3.734823,,,,,
7,132,113.098293,66.52236,38.951996,3.752703,,,,,
7,133,111.211422,63.049551,39.287291,4.891802,,,,,
7,134,109.868849,62.693785,39.030447,4.323033,,,,,
7,135,107.779264,61.571456,39.18091,3.710403,8.387890232549027e-05,5.8429826609790415e-05,2.3826130174597893e-05,1.6229455411020252e-06,3.3026101769673667e-07
7,136,112.8454,63.181513,39.381653,3.57923,,,,,
7,137,93.780059,48.412695,38.563449,3.59228,,,,,
7,138,94.220705,48.982684,38.835834,3.619371,,,,,
7,139,93.901581,48.676419,38.892805,3.57765,,,,,
7,140,92.65131,48.459025,38.289174,3.55333,7.33528116945055e-05,5.0686059333384e-05,2.1258905888998925e-05,1.4078464721226016e-06,2.8881606184040853e-07
8,141,100.97082,52.930831,40.835987,3.832235,,,,,
8,142,100.40947,54.599979,38.875524,3.797854,,,,,
8,143,113.672974,64.040858,42.655638,3.783644,,,,,
8,144,101.961556,55.994333,39.006306,3.750463,,,,,
8,145,111.228972,62.184506,42.635818,3.640641,8.048147431049223e-05,5.502106491476295e-05,2.393224137620109e-05,1.5281680195281913e-06,3.1688413742438197e-07
8,146,102.11965,54.408626,39.010547,3.725703,,,,,
8,147,109.32901,60.381476,41.719022,3.748953,,,,,
8,148,102.429995,55.814409,38.817274,3.725723,,,,,
8,149,110.763555,62.143136,42.214751,3.625211,,,,,
8,150,99.845061,54.260624,38.669581,3.729103,7.605551889718455e-05,5.4934645630419325e-05,1.959501567228017e-05,1.5258575944850875e-06,2.9945757963029735e-07
8,151,109.166847,58.630797,42.012158,3.62495,,,,,
8,152,99.891752,54.184692,38.579399,3.744283,,,,,
8,153,110.304836,61.084478,42.067178,3.450738,,,,,
8,154,100.629173,54.579629,38.579279,3.830345,,,,,
8,155,107.169744,58.400523,41.704592,3.578911,8.17083275736325e-05,5.50389904528856e-05,2.5140575672821797e-05,1.5287614479247085e-06,3.217146942869053e-07
8,156,104.016191,49.668356,46.555003,3.579631,,,,,
8,157,94.325147,49.201489,38.810633,3.56885,,,,,
8,158,94.858906,49.583295,38.837993,3.651751,,,,,
8,159,94.406609,49.158617,38.879294,3.588751,,,,,
8,160,94.020103,49.714377,38.390726,3.55994,7.239561431624181e-05,5.022664032876484e-05,2.0773905504256618e-05,1.3950684832202096e-06,2.8504723593165594e-07
9,161,108.492716,52.411982,48.756031,3.924356,,,,,
9,162,100.805558,55.047507,38.908764,3.724693,,,,,
9,163,107.019452,58.078238,42.017227,3.58519,,,,,
9,164,99.76714,54.189262,38.830513,3.738034,,,,,
9,165,111.053709,62.281738,41.891696,3.660882,7.652399369695176e-05,5.545734167098997e-05,1.9526404514635942e-05,1.5402475113256123e-06,3.013021312379961e-07
9,166,101.665481,54.533678,39.122519,3.732362,,,,,
9,167,111.312433,60.456817,43.761377,3.677892,,,,,
9,168,99.765609,54.268393,38.452957,3.751713,,,,,
9,169,109.056165,59.954989,42.124399,3.588761,,,,,
9,170,100.321038,54.487897,38.828713,3.739552,8.073065634955565e-05,5.4547749832272504e-05,2.466779751841841e-05,1.5151089988648875e-06,3.178652555784259e-07
9,171,108.992184,58.488814,41.974227,3.57602,,,,,
9,172,100.224276,54.576379,38.66722,3.745692,,,,,
9,173,110.036602,61.045027,42.118099,3.613561,,,,,
9,174,100.922408,54.737971,39.20249,3.736733,,,,,
9,175,109.146447,60.532449,41.653951,3.624061,7.727922127536086e-05,5.5146078020334175e-05,2.0601405367415282e-05,1.5317378876109945e-06,3.0427573034007064e-07
9,176,102.079827,55.102257,39.114718,3.56688,,,,,
9,177,95.006139,49.734727,38.921575,3.605231,,,,,
9,178,94.44763,48.964374,39.097838,3.591451,,,,,
9,179,94.384219,49.253059,38.835054,3.56231,,,,,
9,180,93.983253,49.287999,38.725991,3.568681,7.408928333043144e-05,5.026343613862981e-05,2.242974017008237e-05,1.3961070217192165e-06,2.9171581213806835e-07
10,181,115.760139,68.559023,39.875551,3.629231,,,,,
10,182,99.939862,54.195362,38.914005,3.742003,,,,,
10,183,111.665329,65.39566,39.15189,3.708092,,,,,
10,184,112.011695,63.843994,41.768164,3.612581,,,,,
10,185,101.052981,54.919065,39.195219,3.757394,7.752135634867333e-05,5.646093450486665e-05,1.9492237811391533e-05,1.5681840324153538e-06,3.052291020880931e-07
10,186,112.422353,62.450521,42.384614,3.624521,,,,,
10,187,100.828397,54.806483,39.083738,3.731543,,,,,
10,188,110.376878,61.559926,41.805294,3.644482,,,,,
10,189,100.497102,54.7061,38.870374,3.731223,,,,,
10,190,110.736813,60.757153,42.959313,3.629271,8.176197503381071e-05,5.570795964449657e-05,2.4506686287395496e-05,1.5473291019184709e-06,3.2192592338390027e-07
10,191,103.96497,54.68087,38.947406,4.264692,,,,,
10,192,111.167051,57.921195,46.221838,3.615691,,,,,
10,193,104.090042,55.052936,41.061451,3.733972,,,,,
10,194,114.966465,61.955643,45.871902,3.670242,,,,,
10,195,100.148535,54.370755,38.777453,3.789803,8.228585821245605e-05,5.6183618307113856e-05,2.4541686286738695e-05,1.560553618603284e-06,3.239886374506901e-07
10,196,109.801128,59.754825,41.549859,3.618261,,,,,
10,197,94.46539,49.220459,38.883624,3.58772,,,,,
10,198,95.164422,48.994784,39.813,3.562689,,,,,
10,199,94.291687,49.229348,38.746452,3.558551,,,,,
10,200,94.927737,48.812592,40.149466,3.57358,7.209348193002287e-05,5.101185329258427e-05,1.9664737962443724e-05,1.4168906749950492e-06,2.838576334620801e-07
11,201,106.772818,52.760697,46.281939,4.14978,,,,,
11,202,101.066981,54.835152,39.311331,3.719213,,,,,
11,203,100.680335,49.991342,43.757086,3.614501,,,,,
11,204,99.84888,54.337124,38.874215,3.720962,,,,,
11,205,111.08482,59.730466,44.206574,3.789613,7.71030167473455e-05,5.604041218757643e-05,1.9506126719193162e-05,1.5564778405759014e-06,3.0358195055598046e-07
11,206,105.678078,54.750171,41.733623,3.707102,,,,,
11,207,111.628199,58.085368,46.417861,3.721883,,,,,
11,208,102.903562,54.522168,41.382086,3.759213,,,,,
11,209,113.321747,59.283087,46.90132,3.683372,,,,,
11,210,101.874766,54.353315,40.516952,3.744804,7.756267060588526e-05,5.5958632007241296e-05,2.004973826785772e-05,1.5543003307862471e-06,3.053917709863962e-07
11,211,112.768968,57.755333,45.802041,3.60666,,,,,
11,212,102.270881,54.269323,41.020621,3.766273,,,,,
11,213,108.567947,58.79145,42.691248,3.625681,,,,,
11,214,99.528205,54.10264,38.517738,3.693723,,,,,
11,215,109.265369,59.791896,42.377994,3.638231,8.169185438963635e-05,5.559377688914551e-05,2.455390853128847e-05,1.5441689692023697e-06,3.216498335130913e-07
11,216,103.259678,55.473903,39.915562,3.57961,,,,,
11,217,94.146645,49.039716,38.747542,3.56596,,,,,
11,218,94.821906,49.619095,38.855344,3.57031,,,,,
11,219,93.90582,48.838482,38.700772,3.59313,,,,,
11,220,93.2476,48.76093,38.551449,3.56025,7.213519630659736e-05,5.018351562321175e-05,2.0557794229603132e-05,1.3938864537825214e-06,2.8402187777236763e-07
12,221,102.389663,54.758012,40.454591,3.776524,,,,,
12,222,100.805307,54.757472,39.182709,3.733444,,,,,
12,223,108.330154,58.929123,42.424444,3.613721,,,,,
12,224,100.524793,54.535498,38.860364,3.692052,,,,,
12,225,109.384001,58.697028,43.692706,3.586401,7.61129605858237e-05,5.50422303378581e-05,1.954196007147857e-05,1.5287701764868389e-06,2.996837479517985e-07
12,226,100.94818,54.165271,38.772003,3.730963,,,,,
12,227,112.28897,60.02271,45.228762,3.635241,,,,,
12,228,99.931062,54.290453,38.660971,3.738833,,,,,
12,229,110.590571,59.943239,43.665325,3.59024,,,,,
12,230,100.435541,54.378325,39.024027,3.737033,8.096052652504853e-05,5.5184111557900727e-05,2.424363050579359e-05,1.5327844613542176e-06,3.187703360693671e-07
12,231,115.763299,59.240437,47.905856,3.679352,,,,,
12,232,101.781072,54.561128,40.319929,3.701242,,,,,
12,233,112.587324,57.781583,47.822485,3.591761,,,,,
12,234,100.025423,54.263993,38.823653,3.697912,,,,,
12,235,111.480526,60.310695,44.164674,3.592991,8.308923263737134e-05,5.684906672686349e-05,2.4661130836989287e-05,1.5790350735187485e-06,3.271518077808697e-07
12,236,102.317082,54.446736,40.026855,3.55079,,,,,
12,237,94.147824,48.975525,38.873754,3.57176,,,,,
12,238,94.826416,48.954563,39.023406,4.047228,,,,,
12,239,94.761585,48.860642,39.597017,3.545489,,,,,
12,240,93.775878,49.244029,38.60553,3.55511,7.208103105448222e-05,5.019703172147276e-05,2.0489738616902287e-05,1.3942607161071579e-06,2.838086099446839e-07
13,241,105.942652,56.780276,41.976286,3.816775,,,,,
13,242,101.804753,54.742922,40.157546,3.772203,,,,,
13,243,98.492828,54.378745,39.17718,2.972,,,,,
13,244,96.766408,53.146245,38.573799,3.019061,,,,,
13,245,94.653873,50.52414,39.280872,2.95063,7.33308252566533e-05,5.207203850150126e-05,1.98125158590301e-05,1.4462708961218587e-06,2.887294934288151e-07
13,246,95.130661,50.551031,38.570169,2.968929,,,,,
13,247,94.325028,50.766555,38.64325,2.998811,,,,,
13,248,97.402859,53.46992,38.968146,2.98949,,,,,
13,249,96.82696,53.174065,38.719072,2.98774,,,,,
13,250,96.82304,52.991932,38.856804,3.00288,7.344192562474964e-05,5.0172238610684834e-05,2.187612861348498e-05,1.393558400579619e-06,2.8916693502159737e-07
13,251,102.221911,53.214086,38.777362,2.967781,,,,,
13,252,96.553945,52.356031,39.21298,3.053512,,,,,
13,253,94.678844,51.531717,38.256793,2.937289,,,,,
13,254,93.87445,50.399578,38.58471,2.96099,,,,,
13,255,93.439683,50.44732,38.163752,2.944309,7.416651217288794e-05,5.008291490375986e-05,2.2692518157896302e-05,1.3910791112316993e-06,2.9201988950911377e-07
13,256,94.923128,50.412428,38.320605,2.974911,,,,,
13,257,93.587485,50.309977,38.435877,2.946729,,,,,
13,258,93.87153,50.390308,38.58873,2.9679,,,,,
13,259,93.533744,50.381717,38.335736,2.93833,,,,,
13,260,89.944673,50.250246,35.315154,2.907399,9.863954680141337e-05,6.850345581769926e-05,2.8233355905626922e-05,1.9027350780864499e-06,3.8837891541982703e-07
14,261,104.60731,58.934322,39.021416,3.096962,,,,,
14,262,106.133736,57.125441,43.44264,3.150702,,,,,
14,263,100.474601,56.076554,38.815913,2.999241,,,,,
14,264,107.589331,59.442771,41.902256,3.57183,,,,,
14,265,106.319669,62.302279,38.513168,2.93068,7.968529238540009e-05,5.6376945786178016e-05,2.1742517390066496e-05,1.5658292091555117e-06,3.137492865195339e-07
14,266,108.392084,59.137026,41.499258,3.850745,,,,,
14,267,105.458045,61.282242,38.65324,2.95399,,,,,
14,268,107.55063,59.858628,41.966106,3.193644,,,,,
14,269,103.349009,58.914221,38.909845,2.93801,,,,,
14,270,99.605327,54.435266,39.764489,3.032442,8.234402996367372e-05,5.477697793394333e-05,2.6045576390743008e-05,1.5214756389872903e-06,3.2421768028775147e-07
14,271,105.105479,59.775436,38.374416,2.907909,,,,,
14,272,98.886894,54.144241,39.466735,2.931819,,,,,
14,273,104.997347,61.725868,38.378755,2.940479,,,,,
14,274,99.059358,54.65094,39.044607,3.014551,,,,,
14,275,104.851555,61.661607,38.322295,2.93427,7.46513798596882e-05,5.33711515367033e-05,1.9797793612497117e-05,1.4824347104877236e-06,2.9392898573297346e-07
14,276,108.391234,55.26229,46.052706,2.924989,,,,,
14,277,92.11925,49.124687,38.162123,2.96106,,,,,
14,278,92.113481,48.976894,38.261514,2.96746,,,,,
14,279,92.107391,49.011225,38.297074,2.9246,,,,,
