task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
e2_step_75,2026-04-07T15:26:15,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.11157815903425217,4.886331387433523e-08,4.377900747613669e-07,360.0,41.76658754998057,10.0,1.084994934499265e-05,1.2588898883336697e-06,3.0134820068875755e-07,1.2410187434015165e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_81,2026-04-07T15:26:17,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10396596975624561,4.940011763196896e-08,4.719670605024565e-07,360.0,51.33906131988949,10.0,1.0719900950789413e-05,1.5288901096255358e-06,2.977325063612728e-07,1.2546523566776303e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_88,2026-04-07T15:26:18,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10265764966607094,4.788925898095457e-08,4.6621712072306283e-07,360.0,55.57075412783401,10.0,1.0288711264729413e-05,1.5883345980682861e-06,2.857534421814829e-07,1.2162799304979216e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_95,2026-04-07T15:26:19,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.09944113530218601,4.5277778303649326e-08,4.5569268684444243e-07,360.0,45.97613908567247,10.0,9.95202679187051e-06,1.2711121328834452e-06,2.7640277209380965e-07,1.1499541696847852e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_102,2026-04-07T15:26:20,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10639564879238605,4.6939176615234914e-08,4.4093791283034203e-07,360.0,43.367709894623104,10.0,1.0382307507097663e-05,1.2508343303352376e-06,2.8835782367321974e-07,1.1921499661106134e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_108,2026-04-07T15:26:21,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10205099731683731,4.7753072854165614e-08,4.6812035609355077e-07,360.0,54.3776171136618,10.0,1.028829608112577e-05,1.5541679090347316e-06,2.8574708849191544e-07,1.2128211078652525e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_115,2026-04-07T15:26:22,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10673409514129162,5.139204160241013e-08,4.810326578467971e-07,360.0,69.18828961919542,10.0,1.069888677448041e-05,2.056390535187802e-06,2.97150336619883e-07,1.3052427646287898e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e4_step_121,2026-04-07T15:26:23,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.09798344410955906,4.433011896680164e-08,4.4905940844884016e-07,360.0,39.86926322345603,10.0,9.888927079737195e-06,1.09527864822212e-06,2.7465172008507544e-07,1.1258857448044526e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e4_step_128,2026-04-07T15:26:24,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10197854787111282,4.729615416519152e-08,4.639055541199159e-07,360.0,53.51862344586443,10.0,1.0210523754358323e-05,1.518056770066778e-06,2.835834398865698e-07,1.201216396431136e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e4_step_135,2026-04-07T15:26:25,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10943079926073551,5.0534392698045795e-08,4.618498379945891e-07,360.0,51.76171974755697,10.0,1.0955061018466964e-05,1.575279043208866e-06,3.0426396988332137e-07,1.2834604031558908e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
