task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
e1_step_1,2026-04-06T22:17:30,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10359732620418072,5.098918835959193e-08,4.84593471948454e-07,360.0,59.42529376979578,10.0,1.0856370255350961e-05,1.7922236565937055e-06,3.015180325342573e-07,1.2950111944478931e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_6,2026-04-06T22:17:31,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10599272698163986,5.152704833268333e-08,4.859276618362186e-07,360.0,62.78321910992701,10.0,1.088577155023817e-05,1.8986126235631673e-06,3.0233215851088583e-07,1.3086716332312304e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_11,2026-04-06T22:17:32,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10716732777655125,4.916837455683537e-08,4.5763974518574653e-07,360.0,48.2230723195732,10.0,1.0749135538935762e-05,1.4400011565385284e-06,2.985293200860427e-07,1.2487666015560239e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_16,2026-04-06T22:17:33,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10728404112160206,4.855811016267324e-08,4.526976463491074e-07,360.0,43.65650598949253,10.0,1.0732916928827847e-05,1.3016677087307471e-06,2.980878887077145e-07,1.2332672526266329e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_21,2026-04-06T22:17:34,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10322251915931702,4.7219761570407394e-08,4.464191681257032e-07,360.0,37.683173008179004,10.0,1.0590028576552791e-05,1.1086120039749403e-06,2.9412137551440353e-07,1.1992761956042047e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_26,2026-04-06T22:17:36,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10791300982236862,5.259503507368681e-08,4.868921915659933e-07,360.0,75.16219911516667,10.0,1.0802385397255419e-05,2.2555573622184966e-06,3.0001828757424815e-07,1.3357961047048231e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_31,2026-04-06T22:17:37,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10059258341789246,5.1482252075741526e-08,5.103770488630075e-07,360.0,95.89045711845056,10.0,1.010334696620709e-05,2.691391038922575e-06,2.8060108112792264e-07,1.3075339086257532e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_36,2026-04-06T22:17:38,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10744480043649673,5.0755013326853684e-08,4.716076283046108e-07,360.0,60.73524061394816,10.0,1.0773644037544812e-05,1.817779228474592e-06,2.9921346447534235e-07,1.2890636730494712e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_41,2026-04-06T22:17:39,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10232045315206051,4.683425551925193e-08,4.519144056410803e-07,360.0,42.540132449570265,10.0,1.0379900038242316e-05,1.2266676563399415e-06,2.8828435784413034e-07,1.1894852052426368e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e3_step_46,2026-04-06T22:17:40,PNA,43f330b5-6170-4be9-9a9a-8ebd14f44176,0.10608166828751564,4.756851298500053e-08,4.48877917278203e-07,360.0,39.836588473152,10.0,1.0612197034060846e-05,1.174445387164269e-06,2.946945838630218e-07,1.2081337005088056e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
