run_num,project_name,metric,n,mean,q0.001,q0.01,q0.1,q0.25,q0.5,q0.75,q0.9,q0.99,q0.999
1,PNA,step_ms,200,110.950714635,107.364432,107.507315,109.909795,110.271781,111.053874,111.42827,111.890618,115.172893,115.416337
1,PNA,forward_ms,200,47.779039655000005,46.746714,46.935358,47.07035,47.201962,47.488177,48.379272,48.632226,51.149878,52.328898
1,PNA,backward_ms,200,57.204084645,53.296085,53.886844,56.457918,56.694722,56.917196,57.990014,58.285088,59.58466,61.789007
1,PNA,optimizer_ms,200,3.64624235,3.361907,3.386517,3.420177,3.443078,3.638801,3.666842,3.876945,4.297613,5.767676
1,PNA,loss,200,0.7969396615028381,0.5539379715919495,0.706835150718689,0.7516405582427979,0.771403968334198,0.7979170083999634,0.8201178908348083,0.8415988683700562,0.8867589235305786,1.0513722896575928
1,PNA,gpu_util,135,21.696296296296296,0.0,0.0,19.0,20.0,23.0,24.0,25.0,25.0,25.0
1,PNA,cpu_util,135,0.4340740740740741,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8
1,PNA,ram_used_mb,135,19375.396006944444,19373.4609375,19373.4609375,19373.4609375,19375.4296875,19375.8359375,19375.9609375,19376.17578125,19376.953125,19377.4453125
