run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb
1,PNA,1,1,1775681035.3180027,111.034375,47.539378,56.361801,4.24954,0.8189469575881958,0.0,80.7,20595.02734375
1,PNA,1,2,1775681035.5510595,109.721393,46.722325,56.051816,4.185607,0.8085123896598816,,,
1,PNA,1,3,1775681035.7902942,115.491458,50.565056,57.160835,3.588418,0.7804791331291199,21.0,66.4,20594.58203125
1,PNA,1,4,1775681036.0250309,109.808475,47.188731,56.177409,3.65394,0.7694120407104492,,,
1,PNA,1,5,1775681036.2594051,110.290833,47.306234,56.589965,3.68082,0.8343369364738464,,,
1,PNA,1,6,1775681036.4958138,111.770898,47.395855,56.357662,4.2548,0.7880773544311523,33.0,55.5,20595.015625
1,PNA,1,7,1775681036.7324133,110.447686,47.345684,56.088787,4.30876,0.76689612865448,,,
1,PNA,1,8,1775681036.969818,111.441622,47.355184,56.156578,3.463097,0.7911003828048706,20.0,62.2,20595.0703125
1,PNA,1,9,1775681037.2051063,110.013469,47.248963,55.67558,4.28765,0.8454440832138062,,,
1,PNA,1,10,1775681037.4395628,110.031829,46.904647,55.796773,4.28329,0.8271235823631287,,,
1,PNA,1,11,1775681037.6765845,111.026315,47.321243,56.483983,3.67486,0.7978174686431885,33.0,55.3,20595.421875
1,PNA,1,12,1775681037.9115794,109.663363,46.976027,56.403302,3.67209,0.7736901044845581,,,
1,PNA,1,13,1775681038.149475,111.637315,47.263623,56.606055,3.449336,0.8365638852119446,24.0,64.3,20595.5703125
1,PNA,1,14,1775681038.385133,110.384985,47.06635,56.720428,3.67379,0.7340352535247803,,,
1,PNA,1,15,1775681038.621318,110.581367,47.471605,56.715638,3.68533,0.8142263293266296,,,
1,PNA,1,16,1775681038.8569224,110.891603,47.185362,56.478323,3.67285,0.8098219633102417,32.0,56.8,20595.7421875
1,PNA,1,17,1775681039.091896,110.1552,47.172741,56.556524,3.6866,0.78019118309021,,,
1,PNA,1,18,1775681039.3292615,114.152397,47.302883,56.664687,3.461676,0.7621399164199829,32.0,62.4,20595.578125
1,PNA,1,19,1775681039.56611,110.255583,47.383004,56.584056,3.69536,0.793258786201477,,,
1,PNA,1,20,1775681039.7451477,111.31933,47.527717,57.600052,3.633449,0.8094445466995239,,,
1,PNA,2,21,1775681040.260772,110.573469,47.583488,55.862484,4.28388,0.8363311290740967,0.0,73.0,20595.68359375
1,PNA,2,22,1775681040.4999447,113.537826,49.902175,56.546925,4.24734,0.8006927371025085,,,
1,PNA,2,23,1775681040.7357023,111.157487,47.476167,56.661166,3.444836,0.8025124073028564,28.0,64.2,20591.42578125
1,PNA,2,24,1775681040.970614,109.963267,47.215242,56.249469,3.67938,0.8406418561935425,,,
1,PNA,2,25,1775681041.2052746,110.304223,47.13899,56.629607,3.68568,0.8432204127311707,,,
1,PNA,2,26,1775681041.4406898,111.407561,47.14839,56.392952,3.66928,0.7942219972610474,27.0,55.5,20591.5
1,PNA,2,27,1775681041.6774435,110.317713,47.311734,56.593325,3.66573,0.7999220490455627,,,
1,PNA,2,28,1775681041.9143188,111.111527,47.251953,56.27684,3.439286,0.7718233466148376,33.0,64.1,20591.4375
