run_num,project_name,metric,n,mean,q0.001,q0.01,q0.1,q0.25,q0.5,q0.75,q0.9,q0.99,q0.999
1,PNA,step_ms,400,109.8681475125,91.082313,91.634251,95.310241,110.629787,111.197565,112.674009,113.149687,116.695394,117.7201
1,PNA,forward_ms,400,47.43435054,46.884073,46.955613,47.113937,47.202158,47.35701,47.566154,47.677875,49.879991,53.806584
1,PNA,backward_ms,400,55.449023239999995,36.582587,38.471658,39.2359,57.235329,57.468963,57.644486,57.831448,58.691293,61.823992
1,PNA,optimizer_ms,400,3.5129074549999997,3.301803,3.315253,3.386584,3.407405,3.443485,3.622878,3.644369,3.936323,4.583034
1,PNA,loss,400,0.7954213356971741,0.553320586681366,0.7020311951637268,0.7473450899124146,0.7703605890274048,0.7977863550186157,0.8209759593009949,0.8413422107696533,0.8848848342895508,1.051358699798584
1,PNA,fwd_gpu_util,210,21.066666666666666,0.0,0.0,19.0,20.0,23.0,24.0,24.0,30.0,30.0
1,PNA,fwd_cpu_util,210,68.43,58.7,61.2,64.2,64.8,67.0,68.3,78.3,89.8,91.7
1,PNA,fwd_ram_used_mb,210,20207.067429315477,20206.0546875,20206.11328125,20206.39453125,20206.48828125,20206.7734375,20207.75390625,20207.8671875,20208.625,20208.75390625
1,PNA,bwd_gpu_util,210,21.438095238095237,0.0,1.0,19.0,20.0,23.0,24.0,25.0,30.0,30.0
1,PNA,bwd_cpu_util,210,101.64142857142858,76.1,82.6,85.9,101.7,102.6,103.1,105.0,125.8,126.0
1,PNA,bwd_ram_used_mb,210,20207.009561011906,20206.0546875,20206.0546875,20206.39453125,20206.48828125,20206.73046875,20207.69140625,20207.7734375,20208.625,20208.70703125
