run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,fwd_gpu_util,fwd_cpu_util,fwd_ram_used_mb,bwd_gpu_util,bwd_cpu_util,bwd_ram_used_mb
1,PNA,2,41,1775589693.339753,111.003172,47.569713,56.531768,3.407654,0.8287017345428467,0.0,85.1,20206.34765625,0.0,104.7,20206.34765625
1,PNA,2,42,1775589693.5115218,113.562924,49.249351,58.375567,3.72509,0.8432179689407349,,,,,,
1,PNA,2,43,1775589693.687797,112.737421,47.620885,57.539024,3.386045,0.8024009466171265,22.0,69.3,20206.0546875,22.0,102.9,20206.0546875
1,PNA,2,44,1775589693.8590543,110.066277,46.937464,57.242699,3.607558,0.7982838153839111,,,,,,
1,PNA,2,45,1775589694.0347645,113.122887,47.030125,57.772297,3.401815,0.8128599524497986,24.0,66.0,20206.171875,24.0,101.9,20206.0546875
1,PNA,2,46,1775589694.2074091,110.705468,47.217898,57.568175,3.606608,0.7914791107177734,,,,,,
1,PNA,2,47,1775589694.3836727,113.062776,47.620095,57.798078,3.392825,0.810006856918335,25.0,65.4,20206.11328125,25.0,102.4,20206.0546875
1,PNA,2,48,1775589694.557073,110.805309,47.476962,57.471003,3.600848,0.8705762028694153,,,,,,
1,PNA,2,49,1775589694.7315936,112.462515,47.381791,57.468963,3.385914,0.8413422107696533,20.0,65.6,20206.0546875,20.0,120.1,20206.0546875
1,PNA,2,50,1775589694.9036446,110.409693,47.414991,57.088937,3.605768,0.8443689346313477,,,,,,
1,PNA,2,51,1775589695.0785215,113.060535,47.632064,57.467643,3.408165,0.7936663031578064,23.0,65.9,20206.11328125,23.0,102.6,20206.0546875
1,PNA,2,52,1775589695.2512906,110.758469,47.197258,57.644486,3.588338,0.7939788103103638,,,,,,
1,PNA,2,53,1775589695.4267588,112.16166,47.281529,57.376391,3.402005,0.8134807348251343,24.0,65.5,20207.83203125,24.0,102.8,20207.7734375
1,PNA,2,54,1775589695.5995762,110.293531,47.153417,56.972894,3.583658,0.7857925891876221,,,,,,
1,PNA,2,55,1775589695.7763836,113.388831,47.592235,57.621465,3.416385,0.754380464553833,24.0,65.3,20207.7734375,24.0,102.2,20207.7734375
1,PNA,2,56,1775589695.949215,110.623176,47.407191,57.28421,3.600668,0.7887702584266663,,,,,,
1,PNA,2,57,1775589696.124,112.629328,47.254709,57.617935,3.411745,0.7634714841842651,19.0,65.8,20208.21875,19.0,102.7,20207.7734375
1,PNA,2,58,1775589696.294447,110.431194,47.181177,57.29269,3.628408,0.8330198526382446,,,,,,
1,PNA,2,59,1775589696.4687755,112.539117,47.590025,57.28841,3.430205,0.8140138387680054,24.0,66.3,20207.83203125,24.0,120.5,20207.7734375
1,PNA,2,60,1775589696.6410148,110.86887,47.478283,57.373821,3.627068,0.7653484344482422,,,,,,
1,PNA,2,61,1775589696.817092,112.827301,47.644424,57.324611,3.412365,0.8436319828033447,24.0,62.0,20207.890625,25.0,102.6,20207.7734375
1,PNA,2,62,1775589696.99248,111.204535,47.521923,57.573514,3.655748,0.7455097436904907,,,,,,
1,PNA,2,63,1775589697.1680164,112.07698,47.152317,57.420232,3.409405,0.7616189122200012,24.0,68.3,20207.7734375,24.0,103.1,20207.7734375
1,PNA,2,64,1775589697.3434787,111.090444,47.628255,57.456982,3.640999,0.7883262038230896,,,,,,
1,PNA,2,65,1775589697.5205772,112.876173,47.532053,57.825059,3.429485,0.79815673828125,20.0,64.6,20207.984375,20.0,102.4,20207.7734375
1,PNA,2,66,1775589697.8526528,114.238044,47.708735,57.558844,3.394565,0.7609999179840088,20.0,80.4,20207.7734375,8.0,102.8,20207.7734375
1,PNA,2,67,1775589698.027614,110.399403,47.236059,57.173318,3.630639,0.7068122029304504,,,,,,
1,PNA,2,68,1775589698.2052464,112.399315,47.677875,57.348492,3.398674,0.7606422901153564,23.0,67.8,20207.7734375,24.0,103.4,20207.7734375
1,PNA,2,69,1775589698.3813848,111.455149,47.630474,57.831448,3.421815,0.835412859916687,,,,,,
1,PNA,2,70,1775589698.5562096,112.773071,47.279438,57.744577,3.390724,0.8401265740394592,22.0,65.0,20207.7734375,22.0,102.0,20207.7734375
1,PNA,2,71,1775589698.7290375,110.299961,47.28301,57.064966,3.618998,0.8411278128623962,,,,,,
1,PNA,2,72,1775589698.9043484,112.766371,47.791407,57.579074,3.384324,0.7564598321914673,19.0,69.0,20207.9453125,19.0,102.8,20207.88671875
1,PNA,2,73,1775589699.079008,111.46902,47.757757,57.770757,3.620428,0.7987076044082642,,,,,,
1,PNA,2,74,1775589699.258112,115.767349,47.30209,57.498633,3.412375,0.8102675676345825,24.0,64.3,20207.890625,24.0,103.0,20207.890625
1,PNA,2,75,1775589699.4318316,110.997142,47.721056,57.420162,3.619148,0.764818549156189,,,,,,
1,PNA,2,76,1775589699.6065314,112.146221,47.624665,57.061776,3.398615,0.7393418550491333,23.0,68.8,20207.83203125,25.0,103.9,20207.7734375
1,PNA,2,77,1775589699.7799509,111.009283,47.378921,57.623756,3.643398,0.7877756953239441,,,,,,
1,PNA,2,78,1775589699.9556563,112.843142,47.202158,57.451852,3.426395,0.7630804777145386,22.0,62.0,20207.85546875,22.0,119.4,20207.85546875
1,PNA,2,79,1775589700.1291175,111.310337,47.682355,57.503993,3.622828,0.7870436906814575,,,,,,
1,PNA,2,80,1775589700.244826,109.116092,47.30519,54.392154,3.411455,0.997797429561615,19.0,76.9,20208.34765625,24.0,90.6,20208.34765625
1,PNA,3,81,1775589700.6790721,111.617742,47.721516,57.493863,3.412315,0.8233141899108887,3.0,90.0,20208.21875,3.0,103.0,20207.83203125
1,PNA,3,82,1775589700.8507385,109.940675,47.103196,57.096567,3.576697,0.8529644012451172,,,,,,
1,PNA,3,83,1775589701.0298443,113.058035,47.723537,57.677256,3.421735,0.7820285558700562,25.0,62.0,20207.7734375,23.0,102.6,20207.7734375
1,PNA,3,84,1775589701.2034338,111.111894,47.591484,57.385391,3.595788,0.7542942762374878,,,,,,
1,PNA,3,85,1775589701.3797562,112.900043,47.601654,57.847129,3.402864,0.7977863550186157,25.0,68.6,20207.8359375,25.0,102.3,20207.77734375
1,PNA,3,86,1775589701.554703,110.985452,47.609584,57.543534,3.611617,0.8021197319030762,,,,,,
1,PNA,3,87,1775589701.7316854,113.038765,47.250439,57.720446,3.379805,0.7473450899124146,20.0,64.8,20207.7734375,20.0,102.3,20207.7734375
1,PNA,3,88,1775589701.905578,110.323522,47.149807,57.31425,3.613708,0.7608822584152222,,,,,,
1,PNA,3,89,1775589702.082445,112.653169,47.688936,57.389921,3.390744,0.7550615668296814,22.0,68.4,20208.18359375,22.0,102.8,20207.7734375
1,PNA,3,90,1775589702.2573314,111.46598,47.578063,57.8801,3.613608,0.7908610701560974,,,,,,
1,PNA,3,91,1775589702.4343436,113.574273,47.615725,57.722217,3.406455,0.7844464182853699,24.0,64.9,20207.7734375,24.0,102.0,20207.7734375
1,PNA,3,92,1775589702.610592,113.500092,47.079945,60.191226,3.626289,0.8866372108459473,,,,,,
1,PNA,3,93,1775589702.7869658,113.024775,47.661845,57.623266,3.371844,0.8044792413711548,24.0,68.0,20207.83984375,24.0,102.7,20207.7734375
1,PNA,3,94,1775589702.9593334,110.345602,47.191467,57.21759,3.606388,0.780322790145874,,,,,,
1,PNA,3,95,1775589703.1368034,112.918133,47.604354,57.801329,3.417185,0.8206170797348022,19.0,65.2,20207.7734375,19.0,85.3,20207.7734375
1,PNA,3,96,1775589703.310856,110.921341,47.557423,57.365421,3.620808,0.8200395107269287,,,,,,
1,PNA,3,97,1775589703.484837,112.506507,47.151397,57.881589,3.391544,0.7781484127044678,22.0,69.1,20208.125,22.0,102.3,20207.7734375
1,PNA,3,98,1775589703.6620166,110.680208,47.165527,57.551885,3.624608,0.7610622644424438,,,,,,
1,PNA,3,99,1775589703.8397577,112.943273,47.692036,57.471843,3.428905,0.8045551776885986,23.0,67.5,20207.7734375,23.0,85.9,20207.7734375
1,PNA,3,100,1775589704.0140479,110.492514,47.299469,57.241529,3.621028,0.8048052787780762,,,,,,
1,PNA,3,101,1775589704.1904109,112.880283,47.251489,57.654795,3.425205,0.8620984554290771,24.0,68.4,20207.7734375,24.0,102.7,20207.7734375
1,PNA,3,102,1775589704.364911,111.353198,47.660595,57.448882,3.636929,0.7843635082244873,,,,,,
1,PNA,3,103,1775589704.539968,112.217482,47.31939,57.383101,3.413515,0.7938190698623657,20.0,65.2,20207.7734375,20.0,103.1,20207.7734375
1,PNA,3,104,1775589704.7144265,110.671117,47.183868,57.526644,3.641718,0.793748140335083,,,,,,
1,PNA,3,105,1775589704.8920941,112.853922,47.203258,57.415302,3.410154,0.7714663743972778,20.0,68.1,20207.7734375,20.0,102.4,20207.7734375
1,PNA,3,106,1775589705.2343018,114.692552,48.054892,57.622335,3.432726,0.8026072978973389,18.0,77.6,20207.890625,11.0,102.1,20207.7734375
1,PNA,3,107,1775589705.4088917,110.997222,47.294579,57.720566,3.643019,0.8091328144073486,,,,,,
1,PNA,3,108,1775589705.5857024,113.216198,47.520093,57.821619,3.461416,0.8253694772720337,24.0,68.4,20207.7734375,24.0,102.4,20207.7734375
1,PNA,3,109,1775589705.7573242,110.735058,47.34451,57.148018,3.423645,0.7787693738937378,,,,,,
1,PNA,3,110,1775589705.9320107,113.587574,47.122767,57.843539,3.398224,0.7195894718170166,19.0,66.1,20207.7734375,19.0,101.7,20207.7734375
1,PNA,3,111,1775589706.1064343,111.100804,47.280239,57.727887,3.625029,0.7791404724121094,,,,,,
1,PNA,3,112,1775589706.283167,112.478046,47.294339,57.651496,3.382725,0.8057628273963928,22.0,68.3,20207.7734375,22.0,85.6,20207.7734375
1,PNA,3,113,1775589706.4594984,111.156274,47.29904,57.859039,3.651769,0.7977721691131592,,,,,,
1,PNA,3,114,1775589706.637552,112.958364,47.756747,57.687346,3.407835,0.7472375631332397,24.0,67.6,20207.76953125,23.0,102.6,20207.76953125
1,PNA,3,115,1775589706.8147292,110.928281,47.531553,57.513703,3.624898,0.8035938739776611,,,,,,
1,PNA,3,116,1775589706.995033,116.249747,47.552034,57.503893,3.386584,0.8189325332641602,24.0,64.2,20207.76953125,24.0,113.6,20207.76953125
1,PNA,3,117,1775589707.1703928,111.173695,47.543784,57.685346,3.629699,0.7932268381118774,,,,,,
1,PNA,3,118,1775589707.3473382,112.298633,47.152837,57.623856,3.405095,0.8170397281646729,20.0,68.1,20207.828125,20.0,85.6,20207.76953125
1,PNA,3,119,1775589707.5231094,110.829759,47.28037,57.719897,3.588297,0.8285382986068726,,,,,,
1,PNA,3,120,1775589707.6399074,109.352916,47.105807,54.717599,3.445685,0.7185712456703186,19.0,76.0,20208.75390625,25.0,108.0,20208.70703125
1,PNA,4,121,1775589708.0757396,112.316864,47.794897,58.050182,3.431405,0.7514136433601379,3.0,89.8,20207.828125,3.0,102.0,20207.828125
