run_num,project_name,metric,n,mean,q0.001,q0.01,q0.1,q0.25,q0.5,q0.75,q0.9,q0.99,q0.999
1,PNA,step_ms,400,112.0738927725,96.50257,109.963805,110.692907,111.003242,111.937487,112.904752,113.461911,117.791412,121.670303
1,PNA,forward_ms,400,48.060117604999995,47.439002,47.514482,47.798308,47.897199,47.994181,48.090472,48.220714,49.929661,55.662503
1,PNA,backward_ms,400,56.64120590500001,39.81916,55.806326,56.160022,56.400506,56.606009,56.811382,57.123137,58.982797,62.358171
1,PNA,optimizer_ms,400,3.6052417425,3.332563,3.384744,3.406315,3.425025,3.612517,3.670539,3.72454,4.278609,4.604354
1,PNA,loss,400,0.7957353830337525,0.6962586641311646,0.724486231803894,0.7588704824447632,0.7763092517852783,0.7977644801139832,0.8147108554840088,0.8345151543617249,0.8595367670059204,0.8777598142623901
1,PNA,fwd_gpu_util,201,26.00995024875622,0.0,0.0,10.0,22.0,30.0,33.0,33.0,33.0,36.0
1,PNA,fwd_cpu_util,201,56.118407960199,44.4,50.2,52.4,52.6,54.6,55.2,57.8,78.5,83.2
1,PNA,fwd_ram_used_mb,201,20187.5438238495,20184.6171875,20184.86328125,20185.16796875,20186.421875,20187.375,20188.9375,20189.3203125,20190.53125,20193.4921875
1,PNA,bwd_gpu_util,201,24.35820895522388,0.0,0.0,18.0,21.0,25.0,33.0,33.0,33.0,36.0
1,PNA,bwd_cpu_util,201,100.08258706467662,79.6,85.0,86.8,87.9,104.0,104.6,105.0,121.3,122.4
1,PNA,bwd_ram_used_mb,201,20187.47372512438,20184.55859375,20184.8046875,20185.05078125,20186.30078125,20187.296875,20188.9375,20189.21875,20190.4140625,20193.43359375
