epoch,step_idx,step_ms
1,1,771.821922
1,2,780.384833
1,3,278.700641
2,4,769.592908
2,5,776.392802
2,6,284.363298
3,7,779.56753
3,8,770.529723
3,9,282.50181
4,10,776.683317
4,11,774.678086
4,12,278.250205
5,13,771.260313
5,14,779.055942
5,15,282.952316
6,16,774.516834
6,17,775.951215
6,18,279.328391
7,19,774.319921
7,20,774.31065
7,21,282.698363
8,22,774.178718
8,23,772.053306
8,24,283.830481
9,25,773.66149
9,26,773.047001
9,27,283.254091
10,28,774.640945
10,29,773.397057
10,30,282.732374
11,31,777.969176
11,32,772.683886
11,33,282.586161
12,34,776.008706
12,35,774.167358
12,36,282.45983
13,37,774.227849
13,38,776.464673
13,39,283.254601
14,40,775.119182
14,41,775.568399
14,42,279.772138
15,43,775.069892
15,44,773.973495
15,45,282.005893
16,46,774.228659
16,47,777.475459
16,48,282.265317
17,49,773.63011
17,50,775.557369
17,51,282.327296
18,52,775.760242
18,53,773.385026
18,54,283.549666
19,55,779.732013
19,56,769.407705
19,57,283.782859
20,58,773.131482
20,59,773.748192
20,60,283.116379
21,61,774.453493
21,62,774.711357
21,63,282.128115
22,64,775.233164
22,65,777.536769
22,66,277.895429
23,67,773.819573
23,68,772.167228
23,69,286.977998
24,70,775.709742
24,71,773.256594
24,72,283.058938
25,73,774.397032
25,74,772.575093
25,75,284.405529
26,76,771.482277
26,77,776.759387
26,78,283.761578
27,79,777.478538
27,80,773.973965
27,81,278.934435
28,82,776.882529
28,83,772.842768
28,84,283.029388
29,85,775.154843
29,86,776.27452
29,87,282.675842
30,88,775.997006
30,89,773.788702
30,90,283.123909
31,91,778.020037
31,92,772.635324
31,93,283.205051
32,94,778.330021
32,95,773.360016
32,96,278.844184
33,97,774.108937
33,98,775.313185
33,99,283.341703
34,100,776.848109
34,101,771.459367
34,102,284.640232
35,103,774.440759
35,104,773.613806
35,105,284.047305
36,106,775.446726
36,107,775.872113
36,108,279.127936
37,109,774.652673
37,110,774.077863
37,111,283.840082
38,112,776.217748
