run_num,project_name,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss
1,PNA,1,1775436275.318537,109.398776,47.485954,57.385314,3.890397,0.7469527721405029
1,PNA,2,1775436275.4929478,109.855835,46.839084,57.259652,3.615842,0.7802332043647766
1,PNA,3,1775436275.6671479,110.497556,47.366132,57.315424,3.625332,0.8507214784622192
1,PNA,4,1775436275.845713,115.128135,47.017247,62.198757,3.677573,0.7614733576774597
1,PNA,5,1775436276.0029325,91.920587,47.235949,38.898357,3.534111,0.834646463394165
1,PNA,6,1775436276.159741,91.851806,47.192799,38.771215,3.615782,0.7912087440490723
1,PNA,7,1775436276.3161483,91.956908,47.24317,38.853297,3.583621,0.860984206199646
1,PNA,8,1775436276.4727566,92.169371,47.356853,38.952788,3.556001,0.8257973790168762
1,PNA,9,1775436276.6290066,92.174062,47.618807,38.695733,3.562651,0.8334108591079712
1,PNA,10,1775436276.7857997,91.829495,47.315232,38.651323,3.566361,0.8053852915763855
1,PNA,11,1775436276.9429367,92.096541,47.486725,38.799735,3.539621,0.7847338914871216
1,PNA,12,1775436277.0991747,91.49444,47.098489,38.549331,3.539491,0.7998982667922974
1,PNA,13,1775436277.2557578,92.12738,47.401593,38.813385,3.622032,0.7553350925445557
1,PNA,14,1775436277.4129395,92.702261,47.553306,38.47735,4.373725,0.7658754587173462
1,PNA,15,1775436277.5691605,91.714262,47.185189,38.631413,3.584212,0.7372006177902222
1,PNA,16,1775436277.725582,92.018618,47.280281,38.689394,3.579131,0.8095446825027466
1,PNA,17,1775436277.8819356,91.969807,47.25312,38.768276,3.629382,0.7249239683151245
1,PNA,18,1775436278.042427,95.805644,50.873612,38.900078,3.680903,0.7429259419441223
1,PNA,19,1775436278.1992335,92.70259,48.031474,38.809036,3.558201,0.8469645977020264
1,PNA,20,1775436278.3557174,92.279563,47.493524,38.789046,3.687133,0.8251075148582458
1,PNA,21,1775436278.5118926,92.188571,47.585216,38.704455,3.601392,0.8247779607772827
1,PNA,22,1775436278.668083,92.215732,47.530515,38.523671,3.807975,0.7726737260818481
1,PNA,23,1775436278.8238769,92.07429,47.593197,38.525571,3.678763,0.8180655837059021
1,PNA,24,1775436278.9796622,91.863426,47.291762,38.634882,3.625283,0.7269234657287598
1,PNA,25,1775436279.1352897,91.662832,47.17287,38.613482,3.555751,0.792874276638031
1,PNA,26,1775436279.2912579,91.740074,47.304522,38.553951,3.568122,0.8313825130462646
1,PNA,27,1775436279.4486277,92.158511,47.408133,38.621613,3.560571,0.7889912128448486
1,PNA,28,1775436279.6047819,92.177531,47.503054,38.794466,3.568621,0.7862488031387329
1,PNA,29,1775436279.7606447,91.933946,47.262781,38.725065,3.384008,0.7610239386558533
1,PNA,30,1775436279.9174008,92.444015,47.685137,38.833507,3.573001,0.8035925030708313
1,PNA,31,1775436280.075244,92.076769,47.503385,38.710084,3.554841,0.7696807384490967
