epoch,step_idx,step_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
1,1,115.355948,,,,,
1,2,111.699517,,,,,
1,3,111.574623,,,,,
1,4,111.965531,,,,,
1,5,115.751815,,,,,
1,6,111.91021,,,,,
1,7,114.272785,,,,,
1,8,112.630184,,,,,
1,9,113.717825,,,,,
1,10,111.759007,,,,,
1,11,111.883889,,,,,
1,12,112.331168,,,,,
1,13,125.645927,,,,,
1,14,111.946581,,,,,
1,15,112.219056,,,,,
1,16,115.200944,,,,,
1,17,112.794338,,,,,
1,18,112.42022,,,,,
1,19,112.445431,,,,,
1,20,112.076223,,,,,
1,21,112.547473,,,,,
1,22,111.92805,,,,,
1,23,112.362279,,,,,
1,24,112.490761,,,,,
1,25,113.943889,,,,,
1,26,113.346608,,,,,
1,27,112.174425,,,,,
1,28,114.246185,,,,,
1,29,111.596054,,,,,
1,30,111.93185,,,,,
1,31,111.816719,,,,,
1,32,113.354048,,,,,
1,33,112.027152,,,,,
1,34,112.068113,,,,,
1,35,112.46349,,,,,
1,36,113.172025,,,,,
1,37,112.074383,,,,,
1,38,111.974101,,,,,
1,39,112.382919,,,,,
1,40,116.299626,,,,,
2,41,111.39994,,,,,
2,42,112.93729,,,,,
2,43,112.017863,,,,,
2,44,111.917201,,,,,
2,45,111.956212,,,,,
2,46,126.095795,,,,,
2,47,112.720476,,,,,
2,48,113.593483,,,,,
2,49,112.646925,,,,,
2,50,114.306246,,,,,
2,51,112.433771,,,,,
2,52,112.312429,,,,,
2,53,112.083514,,,,,
2,54,111.749987,,,,,
2,55,112.40659,,,,,
2,56,111.943221,,,,,
2,57,112.184165,,,,,
2,58,124.25919,,,,,
2,59,112.085724,,,,,
2,60,112.549843,,,,,
2,61,112.683556,,,,,
2,62,115.750165,,,,,
2,63,112.273198,,,,,
2,64,112.41882,,,,,
2,65,112.47085,,,,,
2,66,115.184024,,,,,
2,67,111.953831,,,,,
2,68,112.546663,,,,,
2,69,112.315887,,,,,
2,70,125.194118,,,,,
2,71,111.690366,,,,,
2,72,112.534202,,,,,
2,73,112.667196,,,,,
2,74,113.215886,,,,,
2,75,112.061544,,,,,
2,76,112.282358,,,,,
2,77,112.483691,,,,,
2,78,113.108263,,,,,
2,79,112.508512,,,,,
2,80,108.574775,,,,,
3,81,113.300867,,,,,
3,82,113.118783,,,,,
3,83,112.45124,,,,,
3,84,112.401859,,,,,
3,85,112.285807,,,,,
3,86,114.119232,,,,,
3,87,112.157954,,,,,
3,88,111.736677,,,,,
3,89,112.507553,,,,,
3,90,122.670709,,,,,
3,91,112.801037,,,,,
3,92,112.047103,,,,,
3,93,112.42897,,,,,
3,94,114.606413,,,,,
3,95,112.673845,,,,,
3,96,113.097353,,,,,
3,97,112.009661,,,,,
3,98,111.846209,,,,,
3,99,112.495932,,,,,
3,100,113.187145,,,,,
3,101,112.222467,,,,,
3,102,121.242271,,,,,
