timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2026-04-06T22:18:16,PNA,5feea17f-5588-4c66-9979-c471622bd867,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.8441113401204348,9.171054278594912e-06,1.0864744782704164e-05,360.0,88.60637387009876,10.0,0.0019664550311863,0.0003081749687794,5.461240175904498e-05,0.0023292424017248,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N,1.0,0.0
2026-04-07T15:29:22,PNA,c414500d-7a29-40dc-bc50-0e0b24eadaf6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.8552818112075329,1.0957216141903304e-05,1.2811234844844084e-05,360.0,81.07498281249497,10.0,0.0023468693478032924,0.0003708464078258089,6.517175842180018e-05,0.002782887514050904,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N,1.0,0.0
