epoch,step_idx,step_ms
1,1,109.705201
1,2,88.972459
1,3,89.432296
1,4,89.436626
1,5,89.606759
1,6,113.430302
1,7,89.64079
1,8,89.311714
1,9,89.581828
1,10,90.680106
1,11,103.843427
1,12,88.643553
1,13,89.426036
1,14,89.954114
1,15,89.761192
1,16,103.864997
1,17,89.155412
1,18,88.995259
1,19,89.378525
1,20,92.13838
2,21,113.220938
2,22,89.235293
2,23,89.324564
2,24,89.352614
2,25,89.324114
2,26,107.648748
2,27,90.29849
2,28,89.917644
2,29,90.090346
2,30,90.211539
2,31,104.459507
2,32,90.488253
2,33,93.46726
2,34,88.39688
2,35,89.07993
2,36,104.734962
2,37,89.767902
2,38,89.806552
2,39,91.50583
2,40,88.183477
3,41,107.152921
3,42,89.70721
3,43,91.5015
3,44,91.020731
3,45,95.258209
3,46,110.915951
3,47,92.878941
3,48,88.948258
3,49,89.414196
3,50,89.223843
3,51,112.10598
3,52,91.660372
3,53,89.344505
3,54,89.732131
3,55,89.558668
3,56,109.323215
3,57,89.454486
3,58,89.152351
3,59,89.211202
3,60,87.213731
4,61,112.305573
4,62,89.392115
4,63,95.724408
4,64,90.211168
4,65,88.811876
4,66,112.648179
4,67,89.7002
4,68,89.318904
4,69,90.079896
4,70,90.020146
4,71,104.751183
4,72,89.310334
4,73,89.261534
4,74,89.157181
4,75,89.460377
4,76,103.600964
4,77,91.228815
4,78,89.405305
4,79,95.559545
4,80,87.321382
5,81,104.252664
5,82,89.774541
5,83,90.539614
5,84,91.203795
5,85,89.328885
5,86,112.265233
5,87,89.665459
5,88,89.855632
5,89,90.668926
5,90,88.860657
5,91,104.300765
5,92,88.931448
5,93,92.17903
5,94,90.34117
5,95,89.255953
5,96,109.712332
5,97,89.368095
5,98,89.170672
5,99,93.492451
5,100,87.009947
6,101,103.582073
6,102,89.06086
6,103,92.284871
6,104,88.627273
6,105,91.324706
6,106,104.746841
6,107,89.192252
6,108,93.884777
6,109,89.835973
6,110,88.962858
6,111,103.813177
6,112,90.014106
6,113,89.446906
6,114,89.0387
6,115,89.279923
6,116,107.13405
6,117,94.254243
6,118,93.41126
6,119,89.173351
6,120,97.063709
7,121,103.692634
7,122,88.896598
7,123,88.861487
7,124,88.775236
7,125,89.128861
7,126,104.548089
7,127,88.575042
7,128,89.339685
7,129,89.340814
7,130,89.558838
7,131,106.608683
7,132,88.895637
7,133,89.292714
7,134,89.299144
7,135,89.497927
7,136,110.574026
7,137,96.612562
7,138,92.498625
7,139,89.218923
7,140,89.262743
8,141,106.334287
8,142,93.209186
8,143,88.812696
8,144,89.368116
8,145,89.011209
8,146,111.265907
8,147,93.996799
8,148,88.626734
8,149,88.912958
8,150,88.959808
8,151,107.308734
8,152,91.827305
8,153,88.998339
8,154,88.588192
8,155,96.754713
8,156,102.595157
8,157,94.459106
8,158,89.733061
8,159,89.501307
8,160,96.886025
9,161,103.616594
9,162,89.023379
9,163,88.533741
9,164,89.353745
9,165,89.065591
9,166,109.732311
9,167,91.685663
9,168,88.237747
9,169,92.046378
9,170,91.786524
9,171,108.914719
9,172,91.197395
9,173,93.437991
9,174,89.348904
9,175,91.606751
9,176,103.227888
9,177,89.04046
9,178,89.177142
9,179,88.953339
9,180,87.088952
10,181,101.65388
10,182,91.164939
10,183,88.709999
10,184,92.290617
10,185,90.59604
10,186,107.814051
10,187,88.612277
10,188,88.858211
10,189,92.897847
10,190,91.293211
10,191,103.041453
10,192,89.037525
10,193,89.414791
10,194,88.975963
10,195,90.65642
10,196,106.894966
10,197,89.576633
10,198,89.703336
10,199,89.182806
10,200,87.672241
11,201,108.41782
11,202,89.090544
11,203,88.923003
11,204,88.863562
11,205,97.698195
11,206,106.827074
11,207,88.376383
11,208,93.156122
11,209,91.019546
11,210,89.495582
11,211,104.150111
11,212,89.158357
11,213,89.658844
11,214,88.898173
11,215,95.039152
11,216,108.036684
11,217,96.508955
11,218,89.501482
11,219,91.057047
11,220,87.53274
12,221,106.801244
12,222,89.074955
12,223,95.237995
12,224,89.38004
12,225,89.835187
12,226,105.474632
12,227,89.95442
12,228,88.75861
12,229,89.329389
12,230,89.560343
12,231,109.786603
12,232,89.504571
12,233,97.867198
12,234,90.083012
12,235,89.510162
12,236,107.942813
12,237,89.682445
12,238,92.518971
12,239,90.252733
12,240,87.098682
13,241,107.585407
13,242,88.579317
13,243,90.010939
13,244,88.72693
13,245,89.020864
13,246,109.841694
13,247,89.043444
13,248,89.055355
13,249,95.160384
13,250,89.512171
13,251,111.621783
13,252,89.576914
13,253,88.940443
13,254,88.938313
13,255,88.809601
13,256,103.318077
13,257,88.854991
13,258,89.38668
13,259,89.895478
13,260,90.494128
14,261,111.351109
14,262,88.367123
14,263,93.090301
14,264,89.040204
14,265,88.635938
14,266,112.518178
14,267,88.854151
14,268,88.839741
14,269,89.598453
14,270,89.224287
14,271,112.740782
14,272,88.766499
14,273,95.289407
14,274,88.955373
14,275,88.775939
14,276,109.265585
14,277,88.708599
14,278,93.936294
14,279,92.152744
14,280,87.194704
15,281,106.914526
15,282,88.652329
15,283,94.079236
15,284,91.2347
15,285,89.146956
15,286,107.424325
15,287,89.066675
15,288,93.508986
15,289,88.966824
15,290,89.005363
15,291,108.161096
15,292,88.686058
15,293,89.152366
15,294,88.576977
15,295,89.123016
15,296,108.511752
15,297,89.115596
15,298,88.79026
15,299,89.141787
15,300,97.487192
16,301,103.327249
16,302,88.782211
16,303,95.052922
16,304,88.893122
16,305,90.668932
16,306,104.823122
16,307,88.939703
16,308,88.589027
16,309,94.689836
16,310,89.280838
16,311,113.007445
16,312,89.229567
16,313,89.070585
16,314,91.145899
16,315,88.847202
16,316,103.812656
16,317,88.995843
16,318,88.886232
16,319,88.910312
16,320,89.915218
17,321,103.632542
17,322,94.88907
17,323,89.266218
17,324,89.033704
17,325,88.969394
17,326,108.320019
17,327,88.8573
17,328,94.23664
17,329,89.069995
17,330,89.058394
17,331,110.744089
17,332,89.348139
17,333,90.940725
17,334,89.156567
17,335,91.339762
17,336,103.139115
17,337,89.004103
17,338,88.618187
17,339,92.133065
17,340,86.867429
18,341,114.772305
18,342,95.278446
18,343,93.399126
18,344,88.940793
18,345,89.278908
18,346,102.990852
18,347,88.800081
18,348,88.850541
18,349,88.796
18,350,89.039364
18,351,106.681763
18,352,95.720503
18,353,89.288758
18,354,89.347469
18,355,88.828661
18,356,104.881333
18,357,89.644135
18,358,88.517886
18,359,89.132446
18,360,86.815077
19,361,108.837187
19,362,90.417087
19,363,89.008333
19,364,89.081965
19,365,88.728689
19,366,112.385026
19,367,90.097522
19,368,89.121405
19,369,89.796287
19,370,89.192776
19,371,108.643894
19,372,88.912922
19,373,94.805249
19,374,89.257537
19,375,89.097026
19,376,107.542167
19,377,88.908433
19,378,89.684954
19,379,91.496535
19,380,86.735646
20,381,107.250232
20,382,93.987435
20,383,89.152427
20,384,89.161636
20,385,89.024674
20,386,111.636344
20,387,93.374875
20,388,88.994804
20,389,88.956973
20,390,89.101095
20,391,109.350755
20,392,93.399105
20,393,88.925732
20,394,93.540719
20,395,93.300724
20,396,111.914418
20,397,91.150499
20,398,95.888055
20,399,92.389589
20,400,89.326828
