epoch,step_idx,step_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
1,1,148.701124,,,,,
1,2,146.96351,,,,,
1,3,148.49392,,,,,
1,4,145.463051,,,,,
1,5,151.971777,,,,,
1,6,147.659874,,,,,
1,7,150.619891,,,,,
1,8,146.369749,,,,,
1,9,151.432347,,,,,
1,10,111.068104,,,,,
2,11,147.102002,,,,,
2,12,150.406287,,,,,
2,13,146.359078,,,,,
2,14,159.057775,,,,,
2,15,149.154853,,,,,
2,16,151.613071,,,,,
2,17,147.696954,,,,,
2,18,149.430648,,,,,
2,19,148.290355,,,,,
2,20,116.244915,,,,,
3,21,148.702204,,,,,
3,22,149.691573,,,,,
3,23,148.311436,,,,,
3,24,151.223213,,,,,
3,25,147.828297,,,,,
3,26,148.223815,,,,,
3,27,146.256056,,,,,
3,28,149.936908,,,,,
3,29,148.252836,,,,,
3,30,113.994711,,,,,
4,31,148.141783,,,,,
4,32,151.399516,,,,,
4,33,146.643764,,,,,
4,34,152.59476,,,,,
4,35,147.4381,,,,,
4,36,150.926867,,,,,
4,37,149.731084,,,,,
4,38,149.310125,,,,,
4,39,146.148185,,,,,
4,40,116.202954,,,,,
5,41,145.613284,,,,,
5,42,150.571711,,,,,
5,43,146.774057,,,,,
5,44,150.58926,,,,,
5,45,148.402718,,,,,
5,46,151.232203,,,,,
5,47,148.407328,,,,,
5,48,152.092129,,,,,
5,49,146.570123,,,,,
5,50,115.5583,,,,,
6,51,148.081462,,,,,
6,52,153.335914,,,,,
6,53,148.911188,,,,,
6,54,153.331894,,,,,
6,55,148.778555,,,,,
6,56,151.007159,,,,,
6,57,149.075511,,,,,
6,58,150.068511,,,,,
6,59,147.177925,,,,,
6,60,114.363549,,,,,
7,61,149.310226,,,,,
7,62,151.138931,,,,,
7,63,147.440899,,,,,
7,64,149.416487,,,,,
7,65,147.870887,,,,,
7,66,151.681312,,,,,
7,67,148.950699,,,,,
7,68,148.727494,,,,,
7,69,147.235675,,,,,
7,70,114.812757,,,,,
8,71,147.864188,,,,,
8,72,151.008228,,,,,
8,73,147.476329,,,,,
8,74,149.959358,,,,,
8,75,146.194065,,,,,
8,76,150.480959,,,,,
8,77,148.328996,,,,,
8,78,149.784825,,,,,
8,79,148.299486,,,,,
8,80,114.762725,,,,,
9,81,148.153014,,,,,
9,82,149.597662,,,,,
9,83,149.839726,,,,,
9,84,148.343596,,,,,
9,85,147.837057,,,,,
9,86,148.744185,,,,,
9,87,150.152332,,,,,
