epoch,step_idx,step_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
1,1,112.278498,,,,,
1,2,116.385216,,,,,
1,3,92.596406,,,,,
1,4,93.564654,,,,,
1,5,111.029124,,,,,
1,6,110.8414,,,,,
1,7,116.03654,,,,,
1,8,110.986523,,,,,
1,9,110.075415,,,,,
1,10,110.785408,,,,,
1,11,110.29344,,,,,
1,12,110.809909,,,,,
1,13,112.672295,,,,,
1,14,110.804548,,,,,
1,15,111.3386,,,,,
1,16,110.933391,,,,,
1,17,110.192026,,,,,
1,18,111.556804,,,,,
1,19,114.524701,,,,,
1,20,111.658356,,,,,
2,21,110.462312,,,,,
2,22,110.27883,,,,,
2,23,111.019363,,,,,
2,24,110.225198,,,,,
2,25,111.006373,,,,,
2,26,110.668186,,,,,
2,27,110.955462,,,,,
2,28,109.79785,,,,,
2,29,110.760348,,,,,
2,30,113.746836,,,,,
2,31,111.133166,,,,,
2,32,110.811458,,,,,
2,33,111.035253,,,,,
2,34,110.028125,,,,,
2,35,110.754298,,,,,
2,36,111.012602,,,,,
2,37,110.055265,,,,,
2,38,110.88376,,,,,
2,39,111.013903,,,,,
2,40,111.665905,,,,,
3,41,110.015124,,,,,
3,42,109.557164,,,,,
3,43,110.652316,,,,,
3,44,110.701047,,,,,
3,45,113.285037,,,,,
3,46,112.009172,,,,,
3,47,111.378319,,,,,
3,48,110.935912,,,,,
3,49,111.126664,,,,,
3,50,111.076104,,,,,
3,51,111.310469,,,,,
3,52,111.354209,,,,,
3,53,110.832679,,,,,
3,54,114.045492,,,,,
3,55,111.314759,,,,,
3,56,110.970032,,,,,
3,57,110.86101,,,,,
3,58,111.086774,,,,,
3,59,110.88607,,,,,
3,60,110.717826,,,,,
4,61,110.27873,,,,,
4,62,109.792329,,,,,
4,63,110.814549,,,,,
4,64,111.206976,,,,,
4,65,110.811899,,,,,
4,66,111.012813,,,,,
4,67,111.603885,,,,,
4,68,111.224956,,,,,
4,69,110.984992,,,,,
4,70,111.011303,,,,,
4,71,110.626145,,,,,
4,72,110.799598,,,,,
4,73,110.991882,,,,,
4,74,110.986022,,,,,
4,75,110.957992,,,,,
4,76,111.225747,,,,,
4,77,111.241957,,,,,
4,78,110.803829,,,,,
4,79,110.979382,,,,,
4,80,109.765839,,,,,
5,81,111.35448,,,,,
5,82,114.96729,,,,,
5,83,111.270389,,,,,
5,84,110.821119,,,,,
5,85,110.327669,,,,,
5,86,111.028943,,,,,
5,87,111.329769,,,,,
5,88,113.225935,,,,,
5,89,113.94083,,,,,
5,90,111.172316,,,,,
5,91,109.699987,,,,,
5,92,111.102975,,,,,
5,93,111.001042,,,,,
5,94,112.733176,,,,,
5,95,111.389511,,,,,
5,96,111.614725,,,,,
5,97,120.770232,,,,,
5,98,111.424011,,,,,
5,99,111.696296,,,,,
5,100,111.970551,,,,,
6,101,110.443982,,,,,
6,102,111.254068,,,,,
6,103,112.323889,,,,,
6,104,112.053193,,,,,
6,105,110.652855,,,,,
6,106,111.325059,,,,,
6,107,111.608035,,,,,
6,108,110.440021,,,,,
6,109,111.602474,,,,,
6,110,111.984772,,,,,
6,111,110.979882,,,,,
6,112,112.070353,,,,,
6,113,111.38845,,,,,
6,114,111.204267,,,,,
6,115,111.423101,,,,,
6,116,111.89182,,,,,
6,117,110.532183,,,,,
6,118,111.333629,,,,,
6,119,111.684156,,,,,
6,120,112.942341,,,,,
7,121,110.440861,,,,,
7,122,110.776858,,,,,
7,123,111.700666,,,,,
7,124,111.731657,,,,,
7,125,111.411581,,,,,
7,126,111.615404,,,,,
7,127,112.370349,,,,,
7,128,111.641045,,,,,
7,129,111.295298,,,,,
7,130,111.417461,,,,,
7,131,115.084031,,,,,
7,132,110.479942,,,,,
7,133,110.484262,,,,,
7,134,116.220234,,,,,
7,135,111.874969,,,,,
7,136,111.653875,,,,,
7,137,111.015834,,,,,
7,138,111.275907,,,,,
7,139,112.94454,,,,,
7,140,114.44077,,,,,
8,141,110.717368,,,,,
8,142,114.167573,,,,,
8,143,112.45212,,,,,
8,144,112.668565,,,,,
8,145,114.009541,,,,,
8,146,111.017922,,,,,
8,147,110.664496,,,,,
8,148,111.040523,,,,,
8,149,111.890869,,,,,
8,150,111.503692,,,,,
8,151,112.132435,,,,,
8,152,112.096593,,,,,
8,153,111.291368,,,,,
8,154,110.052454,,,,,
8,155,111.328049,,,,,
8,156,111.569303,,,,,
8,157,110.617355,,,,,
8,158,111.583864,,,,,
8,159,111.353689,,,,,
8,160,113.344568,,,,,
9,161,110.259899,,,,,
9,162,110.999673,,,,,
9,163,110.179866,,,,,
9,164,111.134965,,,,,
9,165,111.930812,,,,,
9,166,111.821989,,,,,
9,167,112.392309,,,,,
9,168,112.331059,,,,,
