run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb,sampled_phase
1,PNA,2,49,1775431640.4596267,111.153529,47.650072,57.542717,3.671502,0.8413383364677429,,,,
1,PNA,2,50,1775431640.6351721,111.604127,47.857595,57.73976,3.672222,0.8443642854690552,,,,
1,PNA,2,51,1775431640.8131351,112.534072,48.15864,58.724338,3.452428,0.7936631441116333,23.0,0.4,19389.52734375,backward
1,PNA,2,52,1775431640.9851694,111.109809,47.672282,57.181872,3.652312,0.7939720749855042,,,,
1,PNA,2,53,1775431641.1606987,111.786231,47.717052,58.054736,3.676522,0.8134767413139343,,,,
1,PNA,2,54,1775431641.3367023,111.524346,47.653312,58.151988,3.448588,0.7857892513275146,24.0,0.4,19389.52734375,backward
1,PNA,2,55,1775431641.512124,111.519275,48.17503,57.342244,3.673242,0.7543764114379883,,,,
1,PNA,2,56,1775431641.6867325,111.399353,47.767144,57.409035,3.637361,0.7887675762176514,,,,
1,PNA,2,57,1775431641.8623266,112.42177,47.771484,58.825269,3.442038,0.7634665369987488,20.0,0.4,19389.52734375,backward
1,PNA,2,58,1775431642.033589,111.062748,47.761493,57.269414,3.693992,0.8330116868019104,,,,
1,PNA,2,59,1775431642.2066007,111.014977,47.943026,57.09013,3.651611,0.8140085935592651,,,,
1,PNA,2,60,1775431642.3794734,112.893309,47.993197,59.112254,3.455538,0.7653422355651855,25.0,0.4,19389.52734375,backward
1,PNA,2,61,1775431642.5486221,112.823298,48.179751,58.359812,3.723142,0.8436242341995239,,,,
1,PNA,2,62,1775431642.7163324,111.245311,48.009737,57.313763,3.655472,0.7455013394355774,,,,
1,PNA,2,63,1775431642.888431,112.039154,47.822494,58.545104,3.421407,0.7616146802902222,20.0,0.5,19389.52734375,backward
1,PNA,2,64,1775431643.0600474,111.370804,48.060249,56.878897,3.866355,0.7883225679397583,,,,
1,PNA,2,65,1775431643.2342024,110.978057,47.686362,57.323134,3.667572,0.7981509566307068,,,,
1,PNA,2,66,1775431643.409922,112.312728,47.847995,58.669276,3.459809,0.7609903216362,24.0,0.4,19389.5390625,backward
1,PNA,2,67,1775431643.5835378,110.400576,47.648061,56.675333,3.649671,0.7068077921867371,,,,
1,PNA,2,68,1775431643.7585151,111.20707,47.971057,57.259283,3.660972,0.7606301307678223,,,,
1,PNA,2,69,1775431643.9350212,112.531663,47.747763,58.907411,3.462638,0.8354029059410095,24.0,0.4,19389.52734375,backward
1,PNA,2,70,1775431644.1098537,111.486135,47.711493,57.180382,4.277532,0.8401157855987549,,,,
1,PNA,2,71,1775431644.2844393,110.786633,47.487879,56.692393,4.302733,0.8411131501197815,,,,
1,PNA,2,72,1775431644.460641,112.98627,48.19272,59.022253,3.466298,0.7564493417739868,20.0,0.4,19389.52734375,backward
1,PNA,2,73,1775431644.6363342,111.729359,48.15579,57.536607,3.762194,0.7986984252929688,,,,
1,PNA,2,74,1775431644.815867,116.046721,47.868065,61.676087,4.269222,0.8102623224258423,,,,
1,PNA,2,75,1775431644.9737024,94.242225,48.620908,39.915061,3.396107,0.7648060321807861,26.0,0.4,19389.7734375,backward
1,PNA,2,76,1775431645.1296458,92.472925,48.017638,38.547968,3.582371,0.7393320798873901,,,,
1,PNA,2,77,1775431645.3048363,111.80293,47.889796,57.507207,3.827704,0.7877635955810547,,,,
1,PNA,2,78,1775431645.4813864,112.875248,47.693183,59.146544,3.447368,0.7630668878555298,20.0,0.4,19389.7734375,backward
1,PNA,2,79,1775431645.6561515,111.497444,48.1899,57.292173,3.677212,0.7870261669158936,,,,
1,PNA,2,80,1775431645.7707012,107.502008,47.726193,53.648722,4.303242,0.9977638721466064,,,,
1,PNA,3,81,1775431646.075445,111.20197,49.384071,56.853026,4.251621,0.8232989311218262,1.0,0.5,19389.8671875,forward
1,PNA,3,82,1775431646.249621,110.953126,47.427858,56.833556,4.247761,0.8529572486877441,,,,
1,PNA,3,83,1775431646.4253085,111.393013,48.006488,57.383235,3.648801,0.7820152044296265,,,,
1,PNA,3,84,1775431646.6017995,112.505532,48.998053,57.573518,3.646761,0.7542899250984192,24.0,0.4,19389.7734375,forward
1,PNA,3,85,1775431646.7774124,111.250492,47.964276,57.316094,3.687252,0.7977601885795593,,,,
1,PNA,3,86,1775431646.9536824,111.623037,48.128639,57.528047,3.650021,0.8021074533462524,,,,
1,PNA,3,87,1775431647.1286356,113.314216,48.923833,58.459763,3.665842,0.747326135635376,24.0,0.5,19389.890625,forward
1,PNA,3,88,1775431647.3006525,110.855134,47.971627,56.884997,3.653071,0.7608692646026611,,,,
1,PNA,3,89,1775431647.475584,111.470414,48.239141,57.025989,3.812104,0.7550390958786011,,,,
1,PNA,3,90,1775431647.651239,112.495043,48.898002,57.380826,3.631431,0.7908300161361694,21.0,0.4,19390.0078125,forward
1,PNA,3,91,1775431647.8260295,111.81107,48.062468,57.496218,3.686782,0.7844303846359253,,,,
1,PNA,3,92,1775431647.9999237,111.087439,47.678132,57.444346,3.646781,0.8866122961044312,,,,
1,PNA,3,93,1775431648.175841,112.894618,49.439412,57.374604,3.639711,0.8044486045837402,24.0,0.4,19389.7734375,forward
1,PNA,3,94,1775431648.3499658,111.062048,47.619341,57.429356,3.672662,0.7803224325180054,,,,
1,PNA,3,95,1775431648.5252795,111.565686,48.020517,57.553478,3.673242,0.8205847144126892,,,,
1,PNA,3,96,1775431648.701124,112.615215,49.105696,57.439557,3.721333,0.8200221061706543,20.0,0.4,19389.83203125,forward
1,PNA,3,97,1775431648.8808494,114.247372,49.443501,58.887031,3.712042,0.778130054473877,,,,
1,PNA,3,98,1775431649.0562806,111.14474,47.849105,57.167452,3.809275,0.7610384225845337,,,,
1,PNA,3,99,1775431649.2329717,112.697255,49.086335,57.638979,3.664352,0.8045163750648499,24.0,0.4,19389.8671875,forward
1,PNA,3,100,1775431649.4083486,111.588546,47.671292,57.801352,3.775003,0.804787814617157,,,,
1,PNA,3,101,1775431649.5832279,111.093918,47.852304,57.171431,3.736013,0.8620684146881104,,,,
1,PNA,3,102,1775431649.760083,112.479332,49.210057,57.055819,3.657671,0.7843338847160339,24.0,0.5,19389.83203125,forward
1,PNA,3,103,1775431649.9337947,110.66123,47.814924,56.910657,3.643381,0.7938057780265808,,,,
1,PNA,3,104,1775431650.1083655,111.006047,47.805164,57.195102,3.662312,0.7937215566635132,,,,
1,PNA,3,105,1775431650.284554,112.821688,48.852662,57.991685,3.675843,0.7714343070983887,19.0,0.4,19388.84375,forward
1,PNA,3,106,1775431650.4585195,110.936516,47.724022,57.238803,3.654601,0.8025634288787842,,,,
1,PNA,3,107,1775431650.6340508,111.740829,47.842495,57.885044,3.670741,0.8090958595275879,,,,
1,PNA,3,108,1775431650.811714,112.474172,49.064195,57.433766,3.694032,0.8253426551818848,24.0,0.4,19388.84765625,forward
1,PNA,3,109,1775431650.9884348,111.075678,47.583,57.165251,3.482299,0.7787538766860962,,,,
1,PNA,3,110,1775431651.1649425,112.304579,47.692651,58.677748,3.656941,0.7195687890052795,,,,
1,PNA,3,111,1775431651.3424933,112.465972,48.972774,57.513747,3.669122,0.7790786027908325,24.0,0.4,19387.3125,forward
1,PNA,3,112,1775431651.5180125,111.260212,47.687561,57.637019,3.644592,0.8057351112365723,,,,
1,PNA,3,113,1775431651.6943874,111.111059,47.649932,57.311434,3.654912,0.7977420091629028,,,,
